"campus_cd","name","short_name","email_campus","tel_campus","disp_order","is_hidden","created_at","updated_at","deleted_at"
"01","久我山","久","kugayama@test.com","03-0000-0001",1,0,,,
"02","西永福","西","nishieifuku@test.com","03-0000-0002",2,0,,,
"04","下高井戸","下","shimotakaido@test.com","03-0000-0004",4,0,,,
"05","駒込","駒","komagome@test.com","03-0000-0005",5,0,,,
"06","日吉","日","nishieifuku@test.com","045-0000-0006",6,0,,,
"07","自由が丘","自","jiyugaoka@test.com","03-0000-0007",7,0,,,
"10","早稲田","早","waseda@test.com","03-0000-0010",10,0,,,
"13","田町","田","tamachi@test.com","03-0000-0013",12,0,,,
"81","オンライン1","オ1","online1@test.com","03-0000-0081",81,0,,,
"82","オンライン2","オ2","online2@test.com","03-0000-0082",82,0,,,
"83","オンライン3","オ3","online3@test.com","03-0000-0083",83,0,,,
"84","オンライン4","オ4","online4@test.com","03-0000-0084",84,0,,,
"91","家庭教師1","家1","kateikyoushi1@test.com","03-0000-0091",91,0,,,
"92","家庭教師2","家2","kateikyoushi2@test.com","03-0000-0092",92,0,,,
"93","家庭教師3","家3","kateikyoushi3@test.com","03-0000-0093",93,0,,,
"94","家庭教師4","家4","kateikyoushi4@test.com","03-0000-0094",94,0,,,
