"campus_cd","booth_cd","usage_kind","name","disp_order","created_at","updated_at","deleted_at"
"01","101",1,"Aテーブル",1,,,
"01","102",1,"Bテーブル",2,,,
"01","103",1,"Cテーブル",3,,,
"01","104",1,"Dテーブル",4,,,
"01","105",1,"Eテーブル",5,,,
"01","111",2,"オンラインブース1",6,,,
"01","112",2,"オンラインブース2",7,,,
"01","121",3,"面談用ブース1",8,,,
"01","122",3,"面談用ブース2",9,,,
"01","131",4,"両者オンライン用",10,,,
"01","141",5,"生徒自宅",11,,,
"02","201",1,"Aテーブル",1,,,
"02","202",1,"Bテーブル",2,,,
"02","203",1,"Cテーブル",3,,,
"02","204",1,"Dテーブル",4,,,
"02","205",1,"Eテーブル",5,,,
"02","211",2,"オンラインブース1",6,,,
"02","212",2,"オンラインブース2",7,,,
"02","221",3,"面談用ブース1",8,,,
"02","222",3,"面談用ブース2",9,,,
"02","231",4,"両者オンライン用",10,,,
"02","241",5,"生徒自宅",11,,,
"05","501",1,"Aテーブル",1,,,
"05","502",1,"Bテーブル",2,,,
"05","503",1,"Cテーブル",3,,,
"05","504",1,"Dテーブル",4,,,
"05","505",1,"Eテーブル",5,,,
"05","511",2,"オンラインブース1",6,,,
"05","512",2,"オンラインブース2",7,,,
"05","521",3,"面談用ブース1",8,,,
"05","522",3,"面談用ブース2",9,,,
"05","531",4,"両者オンライン用",10,,,
"05","541",5,"生徒自宅",11,,,
"11","301",1,"Aテーブル",1,,,
"11","302",1,"Bテーブル",2,,,
"11","303",1,"Cテーブル",3,,,
"11","304",1,"Dテーブル",4,,,
"11","305",1,"Eテーブル",5,,,
"11","311",2,"オンラインブース1",6,,,
"11","312",2,"オンラインブース2",7,,,
"11","321",3,"面談用ブース1",8,,,
"11","322",3,"面談用ブース2",9,,,
"11","331",4,"両者オンライン用",10,,,
"11","341",5,"生徒自宅",11,,,
"98","981",4,"両者オンライン用",81,,,
"99","991",5,"生徒自宅",91,,,
