"campus_cd","name","short_name","email_campus","tel_campus","disp_order","is_hidden","created_at","updated_at","deleted_at"
"01","久我山","久","kugayama@test.com","99-9999-0001",1,0,,,
"02","西永福","西","nishieihuku@test.com","99-9999-0002",2,0,,,
"03","本郷","本","hongo@test.com","99-9999-0003",3,1,,,
"04","下高井戸","下","simotakaido@test.com","99-9999-0004",4,1,,,
"05","駒込","駒","komagome@test.com","99-9999-0005",5,0,,,
"06","日吉","日","hiyosi@test.com","99-9999-0006",6,1,,,
"07","自由が丘","自","jiyuugaoka@test.com","99-9999-0007",7,1,,,
"08","茅ヶ崎","茅","tigasaki@test.com","99-9999-0008",8,1,,,
"09","春日部","春","kasukabe@test.com","99-9999-0009",9,1,,,
"10","早稲田","早","waseda@test.com","99-9999-0010",10,1,,,
"11","渋谷","渋","shibuya@test.com","99-9999-0011",10,0,,,
"98","オンライン","オン","online@test.com","99-9999-0098",11,0,,,
"99","家庭教師","家","katei@test.com","99-9999-0099",12,0,,,
