"campus_cd","period_no","start_time","end_time","timetable_kind","created_at","updated_at","deleted_at"
"01",1,"09:00","10:30",0,,,
"01",2,"10:45","12:15",0,,,
"01",3,"13:15","14:45",0,,,
"01",4,"15:00","16:30",0,,,
"01",5,"16:45","18:15",0,,,
"01",6,"18:30","20:00",0,,,
"01",7,"20:15","21:45",0,,,
"01",1,"08:45","10:15",1,,,
"01",2,"10:30","12:00",1,,,
"01",3,"13:00","14:30",1,,,
"01",4,"14:45","16:15",1,,,
"01",5,"16:30","18:00",1,,,
"01",6,"18:15","19:45",1,,,
"01",7,"20:00","21:30",1,,,
"02",1,"09:00","10:30",0,,,
"02",2,"10:45","12:15",0,,,
"02",3,"13:15","14:45",0,,,
"02",4,"15:00","16:30",0,,,
"02",5,"16:45","18:15",0,,,
"02",6,"18:30","20:00",0,,,
"02",7,"20:15","21:45",0,,,
"02",1,"08:45","10:15",1,,,
"02",2,"10:30","12:00",1,,,
"02",3,"13:00","14:30",1,,,
"02",4,"14:45","16:15",1,,,
"02",5,"16:30","18:00",1,,,
"02",6,"18:15","19:45",1,,,
"02",7,"20:00","21:30",1,,,
"05",1,"09:00","10:30",0,,,
"05",2,"10:45","12:15",0,,,
"05",3,"13:15","14:45",0,,,
"05",4,"15:00","16:30",0,,,
"05",5,"16:45","18:15",0,,,
"05",6,"18:30","20:00",0,,,
"05",7,"20:15","21:45",0,,,
"05",1,"08:45","10:15",1,,,
"05",2,"10:30","12:00",1,,,
"05",3,"13:00","14:30",1,,,
"05",4,"14:45","16:15",1,,,
"05",5,"16:30","18:00",1,,,
"05",6,"18:15","19:45",1,,,
"05",7,"20:00","21:30",1,,,
"98",1,"09:00","10:30",0,,,
"98",2,"10:45","12:15",0,,,
"98",3,"13:15","14:45",0,,,
"98",4,"15:00","16:30",0,,,
"98",5,"16:45","18:15",0,,,
"98",6,"18:30","20:00",0,,,
"98",7,"20:15","21:45",0,,,
"98",1,"08:45","10:15",1,,,
"98",2,"10:30","12:00",1,,,
"98",3,"13:00","14:30",1,,,
"98",4,"14:45","16:15",1,,,
"98",5,"16:30","18:00",1,,,
"98",6,"18:15","19:45",1,,,
"98",7,"20:00","21:30",1,,,
"99",1,"09:00","10:30",0,,,
"99",2,"10:45","12:15",0,,,
"99",3,"13:15","14:45",0,,,
"99",4,"15:00","16:30",0,,,
"99",5,"16:45","18:15",0,,,
"99",6,"18:30","20:00",0,,,
"99",7,"20:15","21:45",0,,,
"99",1,"08:45","10:15",1,,,
"99",2,"10:30","12:00",1,,,
"99",3,"13:00","14:30",1,,,
"99",4,"14:45","16:15",1,,,
"99",5,"16:30","18:00",1,,,
"99",6,"18:15","19:45",1,,,
"99",7,"20:00","21:30",1,,,
"11",1,"08:00","10:00",0,,,
"11",2,"10:15","12:15",0,,,
"11",3,"13:00","15:00",0,,,
"11",4,"15:15","17:15",0,,,
"11",5,"17:30","19:30",0,,,
"11",6,"19:45","21:45",0,,,
"11",1,"08:00","10:00",1,,,
"11",2,"10:15","12:15",1,,,
"11",3,"13:00","15:00",1,,,
"11",4,"15:15","17:15",1,,,
"11",5,"17:30","19:30",1,,,
"11",6,"19:45","21:45",1,,,
