schedule_id,campus_cd,target_date,period_no,start_time,end_time,minutes,booth_cd,course_cd,student_id,tutor_id,subject_cd,create_kind,lesson_kind,how_to_kind,substitute_kind,absent_tutor_id,absent_status,tentative_status,regular_class_id,transfer_id,transfer_class_id,report_id,memo,adm_id,created_at,updated_at,deleted_at
1,01,2023/09/04,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
2,01,2023/09/04,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
3,01,2023/09/04,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
4,01,2023/09/04,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
5,01,2023/09/05,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
6,01,2023/09/05,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
7,02,2023/09/05,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
8,02,2023/09/05,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
9,01,2023/09/05,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
10,01,2023/09/06,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
11,01,2023/09/06,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
12,02,2023/09/06,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
13,11,2023/09/06,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
14,99,2023/09/07,5,16:45:00,18:15:00,90,991,10400,4,104,103,0,1,4,0,,0,0,14,,,,,200,,,
15,02,2023/09/07,6,18:30:00,20:00:00,90,201,10100,11,105,101,0,1,0,0,,0,0,15,,,,,200,,,
16,98,2023/09/07,7,20:15:00,21:45:00,90,981,10100,15,103,107,0,1,1,0,,0,0,16,,,,,200,,,
17,01,2023/09/08,5,16:45:00,18:15:00,90,102,10200,,101,101,0,1,0,0,,0,0,17,,,,,200,,,
18,01,2023/09/08,6,18:30:00,20:00:00,90,101,10100,7,103,102,0,1,0,0,,0,0,18,,,,,200,,,
19,98,2023/09/08,7,20:15:00,21:45:00,90,981,20100,,103,101,0,1,1,0,,0,0,19,,,,,200,,,
20,02,2023/09/09,1,9:00:00,10:30:00,90,201,10100,7,105,106,0,1,0,0,,0,0,20,,,,,200,,,
21,05,2023/09/09,2,10:45:00,12:15:00,90,501,10100,8,106,102,0,1,0,0,,0,0,21,,,,,200,,,
22,99,2023/09/09,3,13:15:00,14:45:00,90,991,10400,10,104,101,0,1,4,0,,0,0,22,,,,,200,,,
23,98,2023/09/09,4,15:00:00,16:30:00,90,981,10100,9,103,106,0,1,1,0,,0,0,23,,,,,200,,,
24,01,2023/09/09,5,16:45:00,18:15:00,90,105,20100,,103,102,0,1,0,0,,0,0,24,,,,,200,,,
25,01,2023/09/09,6,18:30:00,20:00:00,90,101,10100,12,102,105,0,1,0,0,,0,0,25,,,,,200,,,
26,11,2023/09/09,6,19:45:00,21:45:00,120,301,10600,18,106,102,0,1,0,0,,0,0,26,,,,,200,,,
27,01,2023/09/11,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
28,01,2023/09/11,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
29,01,2023/09/11,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
30,01,2023/09/11,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
31,01,2023/09/12,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
32,01,2023/09/12,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
33,02,2023/09/12,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
34,02,2023/09/12,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
35,01,2023/09/12,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
36,01,2023/09/13,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
37,01,2023/09/13,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
38,02,2023/09/13,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
39,11,2023/09/13,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
40,99,2023/09/14,5,16:45:00,18:15:00,90,991,10400,4,104,103,0,1,4,0,,0,0,14,,,,,200,,,
41,02,2023/09/14,6,18:30:00,20:00:00,90,201,10100,11,105,101,0,1,0,0,,0,0,15,,,,,200,,,
42,98,2023/09/14,7,20:15:00,21:45:00,90,981,10100,15,103,107,0,1,1,0,,0,0,16,,,,,200,,,
43,01,2023/09/15,5,16:45:00,18:15:00,90,102,10200,,101,101,0,1,0,0,,0,0,17,,,,,200,,,
44,01,2023/09/15,6,18:30:00,20:00:00,90,101,10100,7,103,102,0,1,0,0,,0,0,18,,,,,200,,,
45,98,2023/09/15,7,20:15:00,21:45:00,90,981,20100,,103,101,0,1,1,0,,0,0,19,,,,,200,,,
46,02,2023/09/16,1,9:00:00,10:30:00,90,201,10100,7,105,106,0,1,0,0,,0,0,20,,,,,200,,,
47,05,2023/09/16,2,10:45:00,12:15:00,90,501,10100,8,106,102,0,1,0,0,,0,0,21,,,,,200,,,
48,99,2023/09/16,3,13:15:00,14:45:00,90,991,10400,10,104,101,0,1,4,0,,0,0,22,,,,,200,,,
49,98,2023/09/16,4,15:00:00,16:30:00,90,981,10100,9,103,106,0,1,1,0,,0,0,23,,,,,200,,,
50,01,2023/09/16,5,16:45:00,18:15:00,90,105,20100,,103,102,0,1,0,0,,0,0,24,,,,,200,,,
51,01,2023/09/16,6,18:30:00,20:00:00,90,101,10100,12,102,105,0,1,0,0,,0,0,25,,,,,200,,,
52,11,2023/09/16,6,19:45:00,21:45:00,120,301,10600,18,106,102,0,1,0,0,,0,0,26,,,,,200,,,
53,01,2023/09/18,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
54,01,2023/09/18,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
55,01,2023/09/18,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
56,01,2023/09/18,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
57,01,2023/09/19,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
58,01,2023/09/19,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
59,02,2023/09/19,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
60,02,2023/09/19,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
61,01,2023/09/19,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
62,01,2023/09/20,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
63,01,2023/09/20,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
64,02,2023/09/20,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
65,11,2023/09/20,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
66,99,2023/09/21,5,16:45:00,18:15:00,90,991,10400,4,104,103,0,1,4,0,,0,0,14,,,,,200,,,
67,02,2023/09/21,6,18:30:00,20:00:00,90,201,10100,11,105,101,0,1,0,0,,0,0,15,,,,,200,,,
68,98,2023/09/21,7,20:15:00,21:45:00,90,981,10100,15,103,107,0,1,1,0,,0,0,16,,,,,200,,,
69,01,2023/09/22,5,16:45:00,18:15:00,90,102,10200,,101,101,0,1,0,0,,0,0,17,,,,,200,,,
70,01,2023/09/22,6,18:30:00,20:00:00,90,101,10100,7,103,102,0,1,0,0,,0,0,18,,,,,200,,,
71,98,2023/09/22,7,20:15:00,21:45:00,90,981,20100,,103,101,0,1,1,0,,0,0,19,,,,,200,,,
72,02,2023/09/23,1,9:00:00,10:30:00,90,201,10100,7,105,106,0,1,0,0,,0,0,20,,,,,200,,,
73,05,2023/09/23,2,10:45:00,12:15:00,90,501,10100,8,106,102,0,1,0,0,,0,0,21,,,,,200,,,
74,99,2023/09/23,3,13:15:00,14:45:00,90,991,10400,10,104,101,0,1,4,0,,0,0,22,,,,,200,,,
75,98,2023/09/23,4,15:00:00,16:30:00,90,981,10100,9,103,106,0,1,1,0,,0,0,23,,,,,200,,,
76,01,2023/09/23,5,16:45:00,18:15:00,90,105,20100,,103,102,0,1,0,0,,0,0,24,,,,,200,,,
77,01,2023/09/23,6,18:30:00,20:00:00,90,101,10100,12,102,105,0,1,0,0,,0,0,25,,,,,200,,,
78,11,2023/09/23,6,19:45:00,21:45:00,120,301,10600,18,106,102,0,1,0,0,,0,0,26,,,,,200,,,
79,01,2023/09/25,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
80,01,2023/09/25,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
81,01,2023/09/25,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
82,01,2023/09/25,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
83,01,2023/09/26,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
84,01,2023/09/26,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
85,02,2023/09/26,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
86,02,2023/09/26,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
87,01,2023/09/26,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
88,01,2023/09/27,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
89,01,2023/09/27,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
90,02,2023/09/27,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
