"subject_cd","name","short_name","created_at","updated_at","deleted_at"
"101","英語","英語",,,
"102","数学","数学",,,
"103","算数","算数",,,
"104","国語","国語",,,
"105","古文・漢文","古漢",,,
"106","理科","理科",,,
"107","化学","化学",,,
"108","物理","物理",,,
"109","生物","生物",,,
"110","地学","地学",,,
"111","社会","社会",,,
"112","世界史","世史",,,
"113","日本史","日史",,,
"114","地理","地理",,,
"115","政治経済","政経",,,
"116","AO・推薦","AO推",,,
"117","記憶教室","記憶",,,
"118","推理教室","推理",,,
"119","不明","不明",,,
"199","特別授業","特別",,,
"501","算数・国語","算国",,,
"502","数学・理科","数理",,,
"503","英語・数学","英数",,,
"504","理科・社会","理社",,,
"505","英語・国語","英国",,,
"506","国語・社会","国社",,,
"507","算数・理科","算理",,,
"906","演習","演習",,,
