"unit_category_cd","grade_cd","t_subject_cd","name","created_at","updated_at","deleted_at"
"0410301",4,"103","小数・分数",,,
"0410302",4,"103","文章題",,,
"0410303",4,"103","規則性",,,
"0410304",4,"103","推理・論理",,,
"0410305",4,"103","場合の数",,,
"0410306",4,"103","速さ",,,
"0410307",4,"103","割合と比・歩合",,,
"0410308",4,"103","容積と水量",,,
"0410309",4,"103","平面図形",,,
"0410310",4,"103","立体図形",,,
"0410311",4,"103","数",,,
"0410399",4,"103","その他",,,
"0410401",4,"104","文章読解",,,
"0410402",4,"104","詩・俳句・短歌",,,
"0410403",4,"104","漢字・語彙・文法",,,
"0410499",4,"104","その他",,,
"0410601",4,"106","磁石",,,
"0410602",4,"106","昆虫",,,
"0410603",4,"106","流れる水の働き",,,
"0410604",4,"106","季節と天気",,,
"0410605",4,"106","春の生物",,,
"0410606",4,"106","太陽・月",,,
"0410607",4,"106","水のすがた",,,
"0410608",4,"106","光",,,
"0410609",4,"106","植物の成長",,,
"0410610",4,"106","植物のつくりとはたらき",,,
"0410611",4,"106","身の回りの空気と水",,,
"0410612",4,"106","金属",,,
"0410613",4,"106","夏の生物",,,
"0410614",4,"106","星座を作る星",,,
"0410615",4,"106","星座の動き",,,
"0410616",4,"106","動物",,,
"0410617",4,"106","ヒトのからだ",,,
"0410618",4,"106","秋の生物",,,
"0410619",4,"106","電気",,,
"0410620",4,"106","ものの溶け方",,,
"0410621",4,"106","流水と地形",,,
"0410622",4,"106","ばね",,,
"0410623",4,"106","月",,,
"0410624",4,"106","いろいろな気体",,,
"0410625",4,"106","ものの燃え方",,,
"0410626",4,"106","音",,,
"0410627",4,"106","冬の生物",,,
"0410628",4,"106","水溶液の分類",,,
"0410629",4,"106","棒のつり合い",,,
"0410699",4,"106","その他",,,
"0411101",4,"111","くらしと水",,,
"0411102",4,"111","周りの環境",,,
"0411103",4,"111","地図の見方",,,
"0411104",4,"111","日本の地区区分と都道府県",,,
"0411105",4,"111","日本の気候と地形",,,
"0411106",4,"111","地域の特色",,,
"0411107",4,"111","土地の様子",,,
"0411199",4,"111","その他",,,
"0510301",5,"103","数・計算",,,
"0510302",5,"103","文章題",,,
"0510303",5,"103","規則性",,,
"0510304",5,"103","推理・論理",,,
"0510305",5,"103","場合の数",,,
"0510306",5,"103","速さ",,,
"0510307",5,"103","割合と比・歩合",,,
"0510308",5,"103","容積と水量",,,
"0510309",5,"103","平面図形",,,
"0510310",5,"103","立体図形",,,
"0510399",5,"103","その他",,,
"0510401",5,"104","文章読解",,,
"0510402",5,"104","詩・俳句・短歌",,,
"0510403",5,"104","漢字・語彙・文法",,,
"0510499",5,"104","その他",,,
"0510601",5,"106","季節と生物",,,
"0510602",5,"106","物の温度による変化",,,
"0510603",5,"106","物のあたたまり方",,,
"0510604",5,"106","季節と星座",,,
"0510605",5,"106","気象の観測",,,
"0510606",5,"106","天気の変化",,,
"0510607",5,"106","てこと輪軸",,,
"0510608",5,"106","植物のつくり",,,
"0510609",5,"106","植物の成長",,,
"0510610",5,"106","水溶液の濃さ",,,
"0510611",5,"106","物の運動",,,
"0510612",5,"106","太陽系の天体",,,
"0510613",5,"106","気体",,,
"0510614",5,"106","植物のはたらき",,,
"0510615",5,"106","地球",,,
"0510616",5,"106","生物のつながり",,,
"0510617",5,"106","てこ・滑車・輪軸",,,
"0510618",5,"106","水溶液の中和",,,
"0510619",5,"106","ヒトと動物の消化・吸収",,,
"0510620",5,"106","ヒトと動物の呼吸・循環",,,
"0510621",5,"106","物の燃焼",,,
"0510622",5,"106","ばね・浮力・圧力",,,
"0510623",5,"106","流水と地層",,,
"0510624",5,"106","光と音",,,
"0510625",5,"106","火山と地震",,,
"0510626",5,"106","生命の誕生",,,
"0510627",5,"106","電気と抵抗",,,
"0510628",5,"106","電流と磁界",,,
"0510629",5,"106","太陽の動き",,,
"0510630",5,"106","太陽と地球",,,
"0510699",5,"106","その他",,,
"0511101",5,"111","大昔の暮らし",,,
"0511102",5,"111","飛鳥・奈良時代",,,
"0511103",5,"111","平安時代",,,
"0511104",5,"111","鎌倉時代",,,
"0511105",5,"111","室町時代",,,
"0511106",5,"111","江戸時代",,,
"0511107",5,"111","明治時代",,,
"0511108",5,"111","大正時代",,,
"0511109",5,"111","昭和時代",,,
"0511199",5,"111","その他",,,
"0610301",6,"103","文章題",,,
"0610302",6,"103","規則性",,,
"0610303",6,"103","数",,,
"0610304",6,"103","推理・論理",,,
"0610305",6,"103","場合の数",,,
"0610306",6,"103","速さ",,,
"0610307",6,"103","割合と比・歩合",,,
"0610308",6,"103","容器と水量",,,
"0610309",6,"103","平面図形",,,
"0610310",6,"103","立体図形",,,
"0610399",6,"103","その他",,,
"0610401",6,"104","文章読解",,,
"0610402",6,"104","詩・俳句・短歌",,,
"0610403",6,"104","漢字・語彙・文法",,,
"0610499",6,"104","その他",,,
"0610601",6,"106","植物",,,
"0610602",6,"106","地球・太陽・月",,,
"0610603",6,"106","電気・磁石",,,
"0610604",6,"106","水溶液",,,
"0610605",6,"106","恒星・惑星",,,
"0610606",6,"106","光・音",,,
"0610607",6,"106","燃焼・熱",,,
"0610608",6,"106","動物",,,
"0610609",6,"106","地層・火山・地震",,,
"0610610",6,"106","運動・てこ",,,
"0610611",6,"106","気体・金属",,,
"0610612",6,"106","ヒト",,,
"0610613",6,"106","気象",,,
"0610614",6,"106","滑車・ばね・浮力",,,
"0610615",6,"106","エネルギーと環境問題",,,
"0610616",6,"106","地学のまとめ",,,
"0610617",6,"106","化学のまとめ",,,
"0610618",6,"106","生物のまとめ",,,
"0610619",6,"106","物理のまとめ",,,
"0610699",6,"106","その他",,,
"0611101",6,"111","歴史",,,
"0611102",6,"111","日本の政治",,,
"0611103",6,"111","日本の経済、地方政治",,,
"0611104",6,"111","世界の状況",,,
"0611199",6,"111","その他",,,
"0710101",7,"101","文法",,,
"0710102",7,"101","長文読解",,,
"0710103",7,"101","単語",,,
"0710105",7,"101","英作文",,,
"0710106",7,"101","リスニング",,,
"0710107",7,"101","スピーキング",,,
"0710199",7,"101","その他",,,
"0710201",7,"102","正負の数",,,
"0710202",7,"102","文字式",,,
"0710203",7,"102","方程式",,,
"0710204",7,"102","比例・反比例",,,
"0710205",7,"102","図形",,,
"0710299",7,"102","その他",,,
"0710401",7,"104","文章読解",,,
"0710402",7,"104","詩・俳句・短歌",,,
"0710403",7,"104","漢字・語彙・文法",,,
"0710404",7,"104","古文読解",,,
"0710405",7,"104","単語・語彙・古文の知識",,,
"0710499",7,"104","その他",,,
"0710601",7,"106","身近な生物の観察、生物の特徴と分類",,,
"0710602",7,"106","花のつくりとはたらき",,,
"0710603",7,"106","植物の分類",,,
"0710604",7,"106","セキツイ動物の分類",,,
"0710605",7,"106","動物の分類",,,
"0710606",7,"106","実験の基本操作",,,
"0710607",7,"106","物質の性質",,,
"0710608",7,"106","気体の性質",,,
"0710609",7,"106","物の溶け方と水溶液",,,
"0710610",7,"106","物質の状態変化",,,
"0710611",7,"106","状態変化とそのときの温度",,,
"0710612",7,"106","光の反射と屈折",,,
"0710613",7,"106","凸レンズのはたらき",,,
"0710614",7,"106","音の性質",,,
"0710615",7,"106","力のはたらき",,,
"0710616",7,"106","火山",,,
"0710617",7,"106","地震",,,
"0710618",7,"106","地層のでき方",,,
"0710619",7,"106","地震からわかる過去のようす",,,
"0710620",7,"106","大地の変動の原因と災害",,,
"0710699",7,"106","その他",,,
"0711101",7,"111","世界の地理",,,
"0711102",7,"111","日本の地理",,,
"0711103",7,"111","歴史",,,
"0711104",7,"111","公民",,,
"0711199",7,"111","その他",,,
"0810101",8,"101","文法",,,
"0810102",8,"101","長文読解",,,
"0810103",8,"101","単語",,,
"0810105",8,"101","英作文",,,
"0810106",8,"101","リスニング",,,
"0810107",8,"101","スピーキング",,,
"0810199",8,"101","その他",,,
"0810201",8,"102","式の計算",,,
"0810202",8,"102","連立方程式",,,
"0810203",8,"102","一次関数",,,
"0810204",8,"102","平行と合同",,,
"0810205",8,"102","三角形と四角形",,,
"0810206",8,"102","データの分布、確率",,,
"0810299",8,"102","その他",,,
"0810401",8,"104","文章読解",,,
"0810402",8,"104","詩・俳句・短歌",,,
"0810403",8,"104","漢字・語彙・文法",,,
"0810404",8,"104","古文読解",,,
"0810405",8,"104","単語・語彙・古文の知識",,,
"0810499",8,"104","その他",,,
"0810601",8,"106","物質が分かれる変化",,,
"0810602",8,"106","物質のつくり",,,
"0810603",8,"106","物質が結びつく変化",,,
"0810604",8,"106","化学変化のしくみと化学反応式",,,
"0810605",8,"106","酸化と還元、化学反応と熱",,,
"0810606",8,"106","化学変化と物質の質量",,,
"0810607",8,"106","生物と細胞",,,
"0810608",8,"106","光合成と細胞",,,
"0810609",8,"106","根・茎・葉のつくりとはたらき",,,
"0810610",8,"106","消化と吸収",,,
"0810611",8,"106","呼吸、血液の成分とはたらき",,,
"0810612",8,"106","血液の循環と排出",,,
"0810613",8,"106","刺激と反応",,,
"0810614",8,"106","気象観測",,,
"0810615",8,"106","空気中の水蒸気",,,
"0810616",8,"106","前線の通過と天気の変化",,,
"0810617",8,"106","大気の動き日本の天気",,,
"0810618",8,"106","回路と電流・電圧",,,
"0810619",8,"106","オームの法則",,,
"0810620",8,"106","電気とそのエネルギー",,,
"0810621",8,"106","電流の正体",,,
"0810622",8,"106","電流が磁界から受ける力",,,
"0810623",8,"106","電磁誘導",,,
"0810699",8,"106","その他",,,
"0811101",8,"111","世界の地理",,,
"0811102",8,"111","日本の地理",,,
"0811103",8,"111","歴史",,,
"0811104",8,"111","公民",,,
"0811199",8,"111","その他",,,
"0910101",9,"101","文法",,,
"0910102",9,"101","長文読解",,,
"0910103",9,"101","単語",,,
"0910105",9,"101","英作文",,,
"0910106",9,"101","リスニング",,,
"0910107",9,"101","スピーキング",,,
"0910199",9,"101","その他",,,
"0910201",9,"102","式の計算",,,
"0910202",9,"102","平方根",,,
"0910203",9,"102","二次方程式",,,
"0910204",9,"102","二乗に比例する関数",,,
"0910205",9,"102","相似、円周角",,,
"0910206",9,"102","三平方の定理",,,
"0910299",9,"102","その他",,,
"0910401",9,"104","文章読解",,,
"0910402",9,"104","詩・俳句・短歌",,,
"0910403",9,"104","漢字・語彙・文法",,,
"0910404",9,"104","古文読解",,,
"0910405",9,"104","単語・語彙・古文の知識",,,
"0910499",9,"104","その他",,,
"0910601",9,"106","原子の成り立ちとイオン",,,
"0910602",9,"106","酸・アルカリとイオン",,,
"0910603",9,"106","中和とイオン",,,
"0910604",9,"106","電池とイオン",,,
"0910605",9,"106","生物の成長と無性生殖",,,
"0910606",9,"106","有性生殖と遺伝の規則性",,,
"0910607",9,"106","生物の種類の多様性と進化",,,
"0910608",9,"106","水圧・浮力、力の合成・分解",,,
"0910609",9,"106","力がはたらく運動",,,
"0910610",9,"106","力がはたらかない運動",,,
"0910611",9,"106","仕事と仕事率",,,
"0910612",9,"106","力学的エネルギーとその移り変わり",,,
"0910613",9,"106","いろいろなエネルギーとその移り変わり",,,
"0910614",9,"106","天体の1日の動きと地球の自転",,,
"0910615",9,"106","天体の1年の動きと地球の公転",,,
"0910616",9,"106","季節の変化と地軸の傾き",,,
"0910617",9,"106","月と金星の動き方と見え方",,,
"0910618",9,"106","太陽系と宇宙の広がり",,,
"0910619",9,"106","生物どうしのつながり",,,
"0910620",9,"106","土の中の生物のはたらき",,,
"0910621",9,"106","自然と人間",,,
"0910622",9,"106","エネルギー資源と物質",,,
"0910623",9,"106","科学技術と人間",,,
"0910699",9,"106","その他",,,
"0911101",9,"111","世界の地理",,,
"0911102",9,"111","日本の地理",,,
"0911103",9,"111","歴史",,,
"0911104",9,"111","公民",,,
"0911199",9,"111","その他",,,
"1010101",10,"101","文法",,,
"1010102",10,"101","長文読解",,,
"1010103",10,"101","単語",,,
"1010105",10,"101","英作文",,,
"1010106",10,"101","リスニング",,,
"1010107",10,"101","スピーキング",,,
"1010199",10,"101","その他",,,
"1010201",10,"102","数と式",,,
"1010202",10,"102","集合と命題",,,
"1010203",10,"102","二次関数",,,
"1010204",10,"102","図形と計量",,,
"1010205",10,"102","データの分析",,,
"1010206",10,"102","場合の数",,,
"1010207",10,"102","確率",,,
"1010208",10,"102","図形の性質",,,
"1010209",10,"102","整数の性質",,,
"1010299",10,"102","その他",,,
"1010401",10,"104","文章読解",,,
"1010402",10,"104","詩・俳句・短歌",,,
"1010403",10,"104","漢字・語彙・文法",,,
"1010499",10,"104","その他",,,
"1010501",10,"105","古文読解",,,
"1010502",10,"105","和歌",,,
"1010503",10,"105","動詞・形容詞・形容動詞",,,
"1010504",10,"105","助動詞",,,
"1010505",10,"105","助詞",,,
"1010506",10,"105","敬語",,,
"1010507",10,"105","識別",,,
"1010508",10,"105","単語・語彙・古文常識",,,
"1010509",10,"105","漢文・漢詩",,,
"1010510",10,"105","漢文の基礎知識",,,
"1010511",10,"105","漢字",,,
"1010599",10,"105","その他",,,
"1010701",10,"107","物質の構成",,,
"1010702",10,"107","物質の変化",,,
"1010703",10,"107","物質の状態",,,
"1010704",10,"107","物質の変化と平衡",,,
"1010705",10,"107","無機物質",,,
"1010706",10,"107","有機化合物",,,
"1010707",10,"107","高分子化合物",,,
"1010799",10,"107","その他",,,
"1010801",10,"108","力学",,,
"1010802",10,"108","熱力学",,,
"1010803",10,"108","波動",,,
"1010804",10,"108","電気",,,
"1010805",10,"108","磁気",,,
"1010806",10,"108","原子",,,
"1010899",10,"108","その他",,,
"1010901",10,"109","生物と遺伝子",,,
"1010902",10,"109","生物の体内環境の維持",,,
"1010903",10,"109","生物の多様性と生態系",,,
"1010904",10,"109","生命現象と物質",,,
"1010905",10,"109","生殖と発生",,,
"1010906",10,"109","生物の環境応答",,,
"1010907",10,"109","生態と環境",,,
"1010908",10,"109","生物の進化と系統",,,
"1010999",10,"109","その他",,,
"1011201",10,"112","先史の世界",,,
"1011202",10,"112","オリエントと地中海世界",,,
"1011203",10,"112","アジア・アメリカの古代文明",,,
"1011204",10,"112","内陸アジア世界・東アジア世界の形成",,,
"1011205",10,"112","イスラーム世界の形成と発展",,,
"1011206",10,"112","ヨーロッパ世界の形成と発展",,,
"1011207",10,"112","内陸アジア世界・東アジア世界の展開",,,
"1011208",10,"112","アジア諸地域の繁栄",,,
"1011209",10,"112","近世ヨーロッパ世界の形成",,,
"1011210",10,"112","近世ヨーロッパ世界の展開",,,
"1011211",10,"112","近代ヨーロッパ・アメリカ世界の成立",,,
"1011212",10,"112","欧米における近代国民国家の発展",,,
"1011213",10,"112","アジア諸地域の動揺",,,
"1011214",10,"112","帝国主義とアジアの民族運動",,,
"1011215",10,"112","二つの世界大戦",,,
"1011216",10,"112","冷戦と第三世界の独立",,,
"1011217",10,"112","現在の世界",,,
"1011299",10,"112","その他",,,
"1011301",10,"113","日本文化のあけぼの",,,
"1011302",10,"113","律令国家の形成",,,
"1011303",10,"113","貴族政治と国風文化",,,
"1011304",10,"113","中世社会の成立",,,
"1011305",10,"113","武家社会の成長",,,
"1011306",10,"113","幕藩体制の確立",,,
"1011307",10,"113","幕藩体制の展開",,,
"1011308",10,"113","幕藩体制の動揺",,,
"1011309",10,"113","近代国家の成立",,,
"1011310",10,"113","二つの世界大戦とアジア",,,
"1011311",10,"113","占領下の日本",,,
"1011312",10,"113","高度成長の時代",,,
"1011313",10,"113","激動する世界と日本",,,
"1011399",10,"113","その他",,,
"1011401",10,"114","地図と地理情報",,,
"1011402",10,"114","系統地理",,,
"1011403",10,"114","地誌",,,
"1011404",10,"114","アジア",,,
"1011405",10,"114","アフリカ",,,
"1011406",10,"114","ヨーロッパ・ロシアと周辺諸国",,,
"1011407",10,"114","アングロアメリカ",,,
"1011408",10,"114","ラテンアメリカ",,,
"1011409",10,"114","オセアニア",,,
"1011410",10,"114","日本",,,
"1011411",10,"114","地理情報と地図",,,
"1011412",10,"114","自然環境",,,
"1011413",10,"114","資源・産業",,,
"1011414",10,"114","生活と文化",,,
"1011415",10,"114","グローバル化する現代社会",,,
"1011499",10,"114","その他",,,
"1110101",11,"101","文法",,,
"1110102",11,"101","長文読解",,,
"1110103",11,"101","単語",,,
"1110105",11,"101","英作文",,,
"1110106",11,"101","リスニング",,,
"1110107",11,"101","スピーキング",,,
"1110199",11,"101","その他",,,
"1110201",11,"102","式と証明",,,
"1110202",11,"102","複素数と方程式",,,
"1110203",11,"102","図形と方程式",,,
"1110204",11,"102","三角関数",,,
"1110205",11,"102","指数関数と対数関数",,,
"1110206",11,"102","微分法",,,
"1110207",11,"102","積分法",,,
"1110208",11,"102","平面上のベクトル",,,
"1110209",11,"102","空間のベクトル",,,
"1110210",11,"102","数列",,,
"1110211",11,"102","確率分布と統計的な推測",,,
"1110299",11,"102","その他",,,
"1110401",11,"104","文章読解",,,
"1110402",11,"104","詩・俳句・短歌",,,
"1110403",11,"104","漢字・語彙・文法",,,
"1110499",11,"104","その他",,,
"1110501",11,"105","古文読解",,,
"1110502",11,"105","和歌",,,
"1110503",11,"105","動詞・形容詞・形容動詞",,,
"1110504",11,"105","助動詞",,,
"1110505",11,"105","助詞",,,
"1110506",11,"105","敬語",,,
"1110507",11,"105","識別",,,
"1110508",11,"105","単語・語彙・古文常識",,,
"1110509",11,"105","漢文・漢詩",,,
"1110510",11,"105","漢文の基礎知識",,,
"1110511",11,"105","漢字",,,
"1110599",11,"105","その他",,,
"1110701",11,"107","物質の構成",,,
"1110702",11,"107","物質の変化",,,
"1110703",11,"107","物質の状態",,,
"1110704",11,"107","物質の変化と平衡",,,
"1110705",11,"107","無機物質",,,
"1110706",11,"107","有機化合物",,,
"1110707",11,"107","高分子化合物",,,
"1110799",11,"107","その他",,,
"1110801",11,"108","力学",,,
"1110802",11,"108","熱力学",,,
"1110803",11,"108","波動",,,
"1110804",11,"108","電気",,,
"1110805",11,"108","磁気",,,
"1110806",11,"108","原子",,,
"1110899",11,"108","その他",,,
"1110901",11,"109","生物と遺伝子",,,
"1110902",11,"109","生物の体内環境の維持",,,
"1110903",11,"109","生物の多様性と生態系",,,
"1110904",11,"109","生命現象と物質",,,
"1110905",11,"109","生殖と発生",,,
"1110906",11,"109","生物の環境応答",,,
"1110907",11,"109","生態と環境",,,
"1110908",11,"109","生物の進化と系統",,,
"1110999",11,"109","その他",,,
"1111201",11,"112","先史の世界",,,
"1111202",11,"112","オリエントと地中海世界",,,
"1111203",11,"112","アジア・アメリカの古代文明",,,
"1111204",11,"112","内陸アジア世界・東アジア世界の形成",,,
"1111205",11,"112","イスラーム世界の形成と発展",,,
"1111206",11,"112","ヨーロッパ世界の形成と発展",,,
"1111207",11,"112","内陸アジア世界・東アジア世界の展開",,,
"1111208",11,"112","アジア諸地域の繁栄",,,
"1111209",11,"112","近世ヨーロッパ世界の形成",,,
"1111210",11,"112","近世ヨーロッパ世界の展開",,,
"1111211",11,"112","近代ヨーロッパ・アメリカ世界の成立",,,
"1111212",11,"112","欧米における近代国民国家の発展",,,
"1111213",11,"112","アジア諸地域の動揺",,,
"1111214",11,"112","帝国主義とアジアの民族運動",,,
"1111215",11,"112","二つの世界大戦",,,
"1111216",11,"112","冷戦と第三世界の独立",,,
"1111217",11,"112","現在の世界",,,
"1111299",11,"112","その他",,,
"1111301",11,"113","日本文化のあけぼの",,,
"1111302",11,"113","律令国家の形成",,,
"1111303",11,"113","貴族政治と国風文化",,,
"1111304",11,"113","中世社会の成立",,,
"1111305",11,"113","武家社会の成長",,,
"1111306",11,"113","幕藩体制の確立",,,
"1111307",11,"113","幕藩体制の展開",,,
"1111308",11,"113","幕藩体制の動揺",,,
"1111309",11,"113","近代国家の成立",,,
"1111310",11,"113","二つの世界大戦とアジア",,,
"1111311",11,"113","占領下の日本",,,
"1111312",11,"113","高度成長の時代",,,
"1111313",11,"113","激動する世界と日本",,,
"1111399",11,"113","その他",,,
"1111401",11,"114","地図と地理情報",,,
"1111402",11,"114","系統地理",,,
"1111403",11,"114","地誌",,,
"1111404",11,"114","アジア",,,
"1111405",11,"114","アフリカ",,,
"1111406",11,"114","ヨーロッパ・ロシアと周辺諸国",,,
"1111407",11,"114","アングロアメリカ",,,
"1111408",11,"114","ラテンアメリカ",,,
"1111409",11,"114","オセアニア",,,
"1111410",11,"114","日本",,,
"1111411",11,"114","地理情報と地図",,,
"1111412",11,"114","自然環境",,,
"1111413",11,"114","資源・産業",,,
"1111414",11,"114","生活と文化",,,
"1111415",11,"114","グローバル化する現代社会",,,
"1111499",11,"114","その他",,,
"1210101",12,"101","文法",,,
"1210102",12,"101","長文読解",,,
"1210103",12,"101","単語",,,
"1210104",12,"101","構文解釈",,,
"1210105",12,"101","英作文",,,
"1210106",12,"101","リスニング",,,
"1210107",12,"101","スピーキング",,,
