school_year,campus_cd,import_state,import_date,created_at,updated_at,deleted_at
2023,01,0,,,,
2023,02,0,,,,
2023,03,0,,,,
2023,04,0,,,,
2023,05,0,,,,
2023,06,0,,,,
2023,07,0,,,,
2023,08,0,,,,
2023,09,0,,,,
2023,10,0,,,,
2023,11,0,,,,
2023,12,0,,,,
2023,13,0,,,,
2023,14,0,,,,
2023,15,0,,,,
2023,98,0,,,,
2023,99,0,,,,
2024,01,0,,,,
2024,02,0,,,,
2024,03,0,,,,
2024,04,0,,,,
2024,05,0,,,,
2024,06,0,,,,
2024,07,0,,,,
2024,08,0,,,,
2024,09,0,,,,
2024,10,0,,,,
2024,11,0,,,,
2024,12,0,,,,
2024,13,0,,,,
2024,14,0,,,,
2024,15,0,,,,
2024,98,0,,,,
2024,99,0,,,,
