"campus_cd","booth_cd","usage_kind","name","disp_order","created_at","updated_at","deleted_at"
"01","101",1,"Aテーブル",1,,,
"01","102",1,"Bテーブル",2,,,
"01","103",1,"Cテーブル",3,,,
"01","104",1,"Dテーブル",4,,,
"01","105",1,"Eテーブル",5,,,
"01","111",2,"オンラインブース1",6,,,
"01","112",2,"オンラインブース2",7,,,
"01","121",3,"面談用ブース1",8,,,
"01","122",3,"面談用ブース2",9,,,
"01","131",4,"両者オンライン用",10,,,
"01","141",5,"生徒自宅",11,,,
"02","201",1,"Aテーブル",1,,,
"02","202",1,"Bテーブル",2,,,
"02","203",1,"Cテーブル",3,,,
"02","204",1,"Dテーブル",4,,,
"02","205",1,"Eテーブル",5,,,
"02","211",2,"オンラインブース1",6,,,
"02","212",2,"オンラインブース2",7,,,
"02","221",3,"面談用ブース1",8,,,
"02","222",3,"面談用ブース2",9,,,
"02","231",4,"両者オンライン用",10,,,
"02","241",5,"生徒自宅",11,,,
"04","401",1,"Aテーブル",1,,,
"04","402",1,"Bテーブル",2,,,
"04","403",1,"Cテーブル",3,,,
"04","404",1,"Dテーブル",4,,,
"04","405",1,"Eテーブル",5,,,
"04","411",2,"オンラインブース1",6,,,
"04","412",2,"オンラインブース2",7,,,
"04","421",3,"面談用ブース1",8,,,
"04","422",3,"面談用ブース2",9,,,
"04","431",4,"両者オンライン用",10,,,
"04","441",5,"生徒自宅",11,,,
"05","501",1,"Aテーブル",1,,,
"05","502",1,"Bテーブル",2,,,
"05","503",1,"Cテーブル",3,,,
"05","504",1,"Dテーブル",4,,,
"05","505",1,"Eテーブル",5,,,
"05","511",2,"オンラインブース1",6,,,
"05","512",2,"オンラインブース2",7,,,
"05","521",3,"面談用ブース1",8,,,
"05","522",3,"面談用ブース2",9,,,
"05","531",4,"両者オンライン用",10,,,
"05","541",5,"生徒自宅",11,,,
"06","601",1,"Aテーブル",1,,,
"06","602",1,"Bテーブル",2,,,
"06","603",1,"Cテーブル",3,,,
"06","604",1,"Dテーブル",4,,,
"06","605",1,"Eテーブル",5,,,
"06","611",2,"オンラインブース1",6,,,
"06","612",2,"オンラインブース2",7,,,
"06","621",3,"面談用ブース1",8,,,
"06","622",3,"面談用ブース2",9,,,
"06","631",4,"両者オンライン用",10,,,
"06","641",5,"生徒自宅",11,,,
"07","701",1,"Aテーブル",1,,,
"07","702",1,"Bテーブル",2,,,
"07","703",1,"Cテーブル",3,,,
"07","704",1,"Dテーブル",4,,,
"07","705",1,"Eテーブル",5,,,
"07","711",2,"オンラインブース1",6,,,
"07","712",2,"オンラインブース2",7,,,
"07","721",3,"面談用ブース1",8,,,
"07","722",3,"面談用ブース2",9,,,
"07","731",4,"両者オンライン用",10,,,
"07","741",5,"生徒自宅",11,,,
"10","101",1,"Aテーブル",1,,,
"10","102",1,"Bテーブル",2,,,
"10","103",1,"Cテーブル",3,,,
"10","104",1,"Dテーブル",4,,,
"10","105",1,"Eテーブル",5,,,
"10","111",2,"オンラインブース1",6,,,
"10","112",2,"オンラインブース2",7,,,
"10","121",3,"面談用ブース1",8,,,
"10","122",3,"面談用ブース2",9,,,
"10","131",4,"両者オンライン用",10,,,
"10","141",5,"生徒自宅",11,,,
"13","301",1,"Aテーブル",1,,,
"13","302",1,"Bテーブル",2,,,
"13","303",1,"Cテーブル",3,,,
"13","304",1,"Dテーブル",4,,,
"13","305",1,"Eテーブル",5,,,
"13","311",2,"オンラインブース1",6,,,
"13","312",2,"オンラインブース2",7,,,
"13","321",3,"面談用ブース1",8,,,
"13","322",3,"面談用ブース2",9,,,
"13","331",4,"両者オンライン用",10,,,
"13","341",5,"生徒自宅",11,,,
"81","801",4,"両者オンライン用1",1,,,
"81","802",4,"両者オンライン用2",2,,,
"81","803",4,"両者オンライン用3",3,,,
"81","804",4,"両者オンライン用4",4,,,
"82","801",4,"両者オンライン用1",1,,,
"82","802",4,"両者オンライン用2",2,,,
"82","803",4,"両者オンライン用3",3,,,
"82","804",4,"両者オンライン用4",4,,,
"83","801",4,"両者オンライン用1",1,,,
"83","802",4,"両者オンライン用2",2,,,
"83","803",4,"両者オンライン用3",3,,,
"83","804",4,"両者オンライン用4",4,,,
"84","801",4,"両者オンライン用1",1,,,
"84","802",4,"両者オンライン用2",2,,,
"84","803",4,"両者オンライン用3",3,,,
"84","804",4,"両者オンライン用4",4,,,
"91","901",5,"生徒自宅1",1,,,
"91","902",5,"生徒自宅2",2,,,
"91","903",5,"生徒自宅3",3,,,
"91","904",5,"生徒自宅4",4,,,
"92","901",5,"生徒自宅1",1,,,
"92","902",5,"生徒自宅2",2,,,
"92","903",5,"生徒自宅3",3,,,
"92","904",5,"生徒自宅4",4,,,
"93","901",5,"生徒自宅1",1,,,
"93","902",5,"生徒自宅2",2,,,
"93","903",5,"生徒自宅3",3,,,
"93","904",5,"生徒自宅4",4,,,
"94","901",5,"生徒自宅1",1,,,
"94","902",5,"生徒自宅2",2,,,
"94","903",5,"生徒自宅3",3,,,
"94","904",5,"生徒自宅4",4,,,
