"campus_cd","period_no","start_time","end_time","timetable_kind","created_at","updated_at","deleted_at"
"01",1,"09:00","10:30",0,,,
"01",2,"10:45","12:15",0,,,
"01",3,"13:15","14:45",0,,,
"01",4,"15:00","16:30",0,,,
"01",5,"16:45","18:15",0,,,
"01",6,"18:30","20:00",0,,,
"01",7,"20:15","21:45",0,,,
"01",1,"08:45","10:15",1,,,
"01",2,"10:30","12:00",1,,,
"01",3,"13:00","14:30",1,,,
"01",4,"14:45","16:15",1,,,
"01",5,"16:30","18:00",1,,,
"01",6,"18:15","19:45",1,,,
"01",7,"20:00","21:30",1,,,
"02",1,"09:00","10:30",0,,,
"02",2,"10:45","12:15",0,,,
"02",3,"13:15","14:45",0,,,
"02",4,"15:00","16:30",0,,,
"02",5,"16:45","18:15",0,,,
"02",6,"18:30","20:00",0,,,
"02",7,"20:15","21:45",0,,,
"02",1,"08:45","10:15",1,,,
"02",2,"10:30","12:00",1,,,
"02",3,"13:00","14:30",1,,,
"02",4,"14:45","16:15",1,,,
"02",5,"16:30","18:00",1,,,
"02",6,"18:15","19:45",1,,,
"02",7,"20:00","21:30",1,,,
"04",1,"09:00","10:30",0,,,
"04",2,"10:45","12:15",0,,,
"04",3,"13:15","14:45",0,,,
"04",4,"15:00","16:30",0,,,
"04",5,"16:45","18:15",0,,,
"04",6,"18:30","20:00",0,,,
"04",7,"20:15","21:45",0,,,
"04",1,"08:45","10:15",1,,,
"04",2,"10:30","12:00",1,,,
"04",3,"13:00","14:30",1,,,
"04",4,"14:45","16:15",1,,,
"04",5,"16:30","18:00",1,,,
"04",6,"18:15","19:45",1,,,
"04",7,"20:00","21:30",1,,,
"05",1,"09:00","10:30",0,,,
"05",2,"10:45","12:15",0,,,
"05",3,"13:15","14:45",0,,,
"05",4,"15:00","16:30",0,,,
"05",5,"16:45","18:15",0,,,
"05",6,"18:30","20:00",0,,,
"05",7,"20:15","21:45",0,,,
"05",1,"08:45","10:15",1,,,
"05",2,"10:30","12:00",1,,,
"05",3,"13:00","14:30",1,,,
"05",4,"14:45","16:15",1,,,
"05",5,"16:30","18:00",1,,,
"05",6,"18:15","19:45",1,,,
"05",7,"20:00","21:30",1,,,
"06",1,"09:00","10:30",0,,,
"06",2,"10:45","12:15",0,,,
"06",3,"13:15","14:45",0,,,
"06",4,"15:00","16:30",0,,,
"06",5,"16:45","18:15",0,,,
"06",6,"18:30","20:00",0,,,
"06",7,"20:15","21:45",0,,,
"06",1,"08:45","10:15",1,,,
"06",2,"10:30","12:00",1,,,
"06",3,"13:00","14:30",1,,,
"06",4,"14:45","16:15",1,,,
"06",5,"16:30","18:00",1,,,
"06",6,"18:15","19:45",1,,,
"06",7,"20:00","21:30",1,,,
"07",1,"09:00","10:30",0,,,
"07",2,"10:45","12:15",0,,,
"07",3,"13:15","14:45",0,,,
"07",4,"15:00","16:30",0,,,
"07",5,"16:45","18:15",0,,,
"07",6,"18:30","20:00",0,,,
"07",7,"20:15","21:45",0,,,
"07",1,"08:45","10:15",1,,,
"07",2,"10:30","12:00",1,,,
"07",3,"13:00","14:30",1,,,
"07",4,"14:45","16:15",1,,,
"07",5,"16:30","18:00",1,,,
"07",6,"18:15","19:45",1,,,
"07",7,"20:00","21:30",1,,,
"10",1,"09:00","10:30",0,,,
"10",2,"10:45","12:15",0,,,
"10",3,"13:15","14:45",0,,,
"10",4,"15:00","16:30",0,,,
"10",5,"16:45","18:15",0,,,
"10",6,"18:30","20:00",0,,,
"10",7,"20:15","21:45",0,,,
"10",1,"08:45","10:15",1,,,
"10",2,"10:30","12:00",1,,,
"10",3,"13:00","14:30",1,,,
"10",4,"14:45","16:15",1,,,
"10",5,"16:30","18:00",1,,,
"10",6,"18:15","19:45",1,,,
"10",7,"20:00","21:30",1,,,
"13",1,"09:00","10:30",0,,,
"13",2,"10:45","12:15",0,,,
"13",3,"13:15","14:45",0,,,
"13",4,"15:00","16:30",0,,,
"13",5,"16:45","18:15",0,,,
"13",6,"18:30","20:00",0,,,
"13",7,"20:15","21:45",0,,,
"13",1,"08:45","10:15",1,,,
"13",2,"10:30","12:00",1,,,
"13",3,"13:00","14:30",1,,,
"13",4,"14:45","16:15",1,,,
"13",5,"16:30","18:00",1,,,
"13",6,"18:15","19:45",1,,,
"13",7,"20:00","21:30",1,,,
"81",1,"09:00","10:30",0,,,
"81",2,"10:45","12:15",0,,,
"81",3,"13:15","14:45",0,,,
"81",4,"15:00","16:30",0,,,
"81",5,"16:45","18:15",0,,,
"81",6,"18:30","20:00",0,,,
"81",7,"20:15","21:45",0,,,
"81",1,"08:45","10:15",1,,,
"81",2,"10:30","12:00",1,,,
"81",3,"13:00","14:30",1,,,
"81",4,"14:45","16:15",1,,,
"81",5,"16:30","18:00",1,,,
"81",6,"18:15","19:45",1,,,
"81",7,"20:00","21:30",1,,,
"82",1,"09:00","10:30",0,,,
"82",2,"10:45","12:15",0,,,
"82",3,"13:15","14:45",0,,,
"82",4,"15:00","16:30",0,,,
"82",5,"16:45","18:15",0,,,
"82",6,"18:30","20:00",0,,,
"82",7,"20:15","21:45",0,,,
"82",1,"08:45","10:15",1,,,
"82",2,"10:30","12:00",1,,,
"82",3,"13:00","14:30",1,,,
"82",4,"14:45","16:15",1,,,
"82",5,"16:30","18:00",1,,,
"82",6,"18:15","19:45",1,,,
"82",7,"20:00","21:30",1,,,
"83",1,"09:00","10:30",0,,,
"83",2,"10:45","12:15",0,,,
"83",3,"13:15","14:45",0,,,
"83",4,"15:00","16:30",0,,,
"83",5,"16:45","18:15",0,,,
"83",6,"18:30","20:00",0,,,
"83",7,"20:15","21:45",0,,,
"83",1,"08:45","10:15",1,,,
"83",2,"10:30","12:00",1,,,
"83",3,"13:00","14:30",1,,,
"83",4,"14:45","16:15",1,,,
"83",5,"16:30","18:00",1,,,
"83",6,"18:15","19:45",1,,,
"83",7,"20:00","21:30",1,,,
"84",1,"09:00","10:30",0,,,
"84",2,"10:45","12:15",0,,,
"84",3,"13:15","14:45",0,,,
"84",4,"15:00","16:30",0,,,
"84",5,"16:45","18:15",0,,,
"84",6,"18:30","20:00",0,,,
"84",7,"20:15","21:45",0,,,
"84",1,"08:45","10:15",1,,,
"84",2,"10:30","12:00",1,,,
"84",3,"13:00","14:30",1,,,
"84",4,"14:45","16:15",1,,,
"84",5,"16:30","18:00",1,,,
"84",6,"18:15","19:45",1,,,
"84",7,"20:00","21:30",1,,,
"91",1,"09:00","10:30",0,,,
"91",2,"10:45","12:15",0,,,
"91",3,"13:15","14:45",0,,,
"91",4,"15:00","16:30",0,,,
"91",5,"16:45","18:15",0,,,
"91",6,"18:30","20:00",0,,,
"91",7,"20:15","21:45",0,,,
"91",1,"08:45","10:15",1,,,
"91",2,"10:30","12:00",1,,,
"91",3,"13:00","14:30",1,,,
"91",4,"14:45","16:15",1,,,
"91",5,"16:30","18:00",1,,,
"91",6,"18:15","19:45",1,,,
"91",7,"20:00","21:30",1,,,
"92",1,"09:00","10:30",0,,,
"92",2,"10:45","12:15",0,,,
"92",3,"13:15","14:45",0,,,
"92",4,"15:00","16:30",0,,,
"92",5,"16:45","18:15",0,,,
"92",6,"18:30","20:00",0,,,
"92",7,"20:15","21:45",0,,,
"92",1,"08:45","10:15",1,,,
"92",2,"10:30","12:00",1,,,
"92",3,"13:00","14:30",1,,,
"92",4,"14:45","16:15",1,,,
"92",5,"16:30","18:00",1,,,
"92",6,"18:15","19:45",1,,,
"92",7,"20:00","21:30",1,,,
"93",1,"09:00","10:30",0,,,
"93",2,"10:45","12:15",0,,,
"93",3,"13:15","14:45",0,,,
"93",4,"15:00","16:30",0,,,
"93",5,"16:45","18:15",0,,,
"93",6,"18:30","20:00",0,,,
"93",7,"20:15","21:45",0,,,
"93",1,"08:45","10:15",1,,,
"93",2,"10:30","12:00",1,,,
"93",3,"13:00","14:30",1,,,
"93",4,"14:45","16:15",1,,,
"93",5,"16:30","18:00",1,,,
"93",6,"18:15","19:45",1,,,
"93",7,"20:00","21:30",1,,,
"94",1,"09:00","10:30",0,,,
"94",2,"10:45","12:15",0,,,
"94",3,"13:15","14:45",0,,,
"94",4,"15:00","16:30",0,,,
"94",5,"16:45","18:15",0,,,
"94",6,"18:30","20:00",0,,,
"94",7,"20:15","21:45",0,,,
"94",1,"08:45","10:15",1,,,
"94",2,"10:30","12:00",1,,,
"94",3,"13:00","14:30",1,,,
"94",4,"14:45","16:15",1,,,
"94",5,"16:30","18:00",1,,,
"94",6,"18:15","19:45",1,,,
"94",7,"20:00","21:30",1,,,
