season_cd,campus_cd,t_start_date,t_end_date,s_start_date,s_end_date,confirm_date,status,created_at,updated_at,deleted_at
202301,01,,,,,,0,,,
202301,02,,,,,,0,,,
202301,04,,,,,,0,,,
202301,05,,,,,,0,,,
202301,06,,,,,,0,,,
202301,07,,,,,,0,,,
202301,10,,,,,,0,,,
202301,13,,,,,,0,,,
202301,81,,,,,,0,,,
202301,82,,,,,,0,,,
202301,83,,,,,,0,,,
202301,84,,,,,,0,,,
202301,91,,,,,,0,,,
202301,92,,,,,,0,,,
202301,93,,,,,,0,,,
202301,94,,,,,,0,,,
202302,01,,,,,,0,,,
202302,02,,,,,,0,,,
202302,04,,,,,,0,,,
202302,05,,,,,,0,,,
202302,06,,,,,,0,,,
202302,07,,,,,,0,,,
202302,10,,,,,,0,,,
202302,13,,,,,,0,,,
202302,81,,,,,,0,,,
202302,82,,,,,,0,,,
202302,83,,,,,,0,,,
202302,84,,,,,,0,,,
202302,91,,,,,,0,,,
202302,92,,,,,,0,,,
202302,93,,,,,,0,,,
202302,94,,,,,,0,,,
202303,01,,,,,,0,,,
202303,02,,,,,,0,,,
202303,04,,,,,,0,,,
202303,05,,,,,,0,,,
202303,06,,,,,,0,,,
202303,07,,,,,,0,,,
202303,10,,,,,,0,,,
202303,13,,,,,,0,,,
202303,81,,,,,,0,,,
202303,82,,,,,,0,,,
202303,83,,,,,,0,,,
202303,84,,,,,,0,,,
202303,91,,,,,,0,,,
202303,92,,,,,,0,,,
202303,93,,,,,,0,,,
202303,94,,,,,,0,,,
202401,01,,,,,,0,,,
202401,02,,,,,,0,,,
202401,04,,,,,,0,,,
202401,05,,,,,,0,,,
202401,06,,,,,,0,,,
202401,07,,,,,,0,,,
202401,10,,,,,,0,,,
202401,13,,,,,,0,,,
202401,81,,,,,,0,,,
202401,82,,,,,,0,,,
202401,83,,,,,,0,,,
202401,84,,,,,,0,,,
202401,91,,,,,,0,,,
202401,92,,,,,,0,,,
202401,93,,,,,,0,,,
202401,94,,,,,,0,,,
202402,01,,,,,,0,,,
202402,02,,,,,,0,,,
202402,04,,,,,,0,,,
202402,05,,,,,,0,,,
202402,06,,,,,,0,,,
202402,07,,,,,,0,,,
202402,10,,,,,,0,,,
202402,13,,,,,,0,,,
202402,81,,,,,,0,,,
202402,82,,,,,,0,,,
202402,83,,,,,,0,,,
202402,84,,,,,,0,,,
202402,91,,,,,,0,,,
202402,92,,,,,,0,,,
202402,93,,,,,,0,,,
202402,94,,,,,,0,,,
202403,01,,,,,,0,,,
202403,02,,,,,,0,,,
202403,04,,,,,,0,,,
202403,05,,,,,,0,,,
202403,06,,,,,,0,,,
202403,07,,,,,,0,,,
202403,10,,,,,,0,,,
202403,13,,,,,,0,,,
202403,81,,,,,,0,,,
202403,82,,,,,,0,,,
202403,83,,,,,,0,,,
202403,84,,,,,,0,,,
202403,91,,,,,,0,,,
202403,92,,,,,,0,,,
202403,93,,,,,,0,,,
202403,94,,,,,,0,,,
202501,01,,,,,,0,,,
202501,02,,,,,,0,,,
202501,04,,,,,,0,,,
202501,05,,,,,,0,,,
202501,06,,,,,,0,,,
202501,07,,,,,,0,,,
202501,10,,,,,,0,,,
202501,13,,,,,,0,,,
202501,81,,,,,,0,,,
202501,82,,,,,,0,,,
202501,83,,,,,,0,,,
202501,84,,,,,,0,,,
202501,91,,,,,,0,,,
202501,92,,,,,,0,,,
202501,93,,,,,,0,,,
202501,94,,,,,,0,,,
