"unit_id","unit_category_cd","unit_cd","name","created_at","updated_at","deleted_at"
60,"0710201","01","正負の数の意味",,,
61,"0710201","02","正負の数の加減",,,
62,"0710201","03","正負の数の乗除",,,
63,"0710201","04","正負の数の四則計算",,,
64,"0710201","05","正負の数まとめ",,,
65,"0710202","01","文字式の表し方",,,
66,"0710202","02","文字式の計算",,,
67,"0710202","03","関係を表す式",,,
68,"0710202","04","文字式まとめ",,,
69,"0710203","01","方程式の解法",,,
70,"0710203","02","方程式の利用",,,
71,"0710203","03","方程式のまとめ",,,
72,"0710204","01","比例",,,
73,"0710204","02","比例とグラフ",,,
74,"0710204","03","反比例とグラフ対称な点と三角形の面積",,,
75,"0710204","04","比例・反比例のまとめ",,,
76,"0710205","01","平面図形の性質",,,
77,"0710205","02","作図",,,
78,"0710205","03","図形の移動",,,
79,"0710205","04","平面図形まとめ",,,
80,"0710205","05","いろいろな立体とその見方",,,
81,"0710205","06","空間の位置",,,
82,"0710205","07","体積・表面積",,,
83,"0710205","08","立体の切断とその断面",,,
84,"0710206","01","空間図形まとめ資料の活用",,,
85,"0710299","99","その他",,,
86,"0810201","01","単項式と多項式・式の乗除",,,
87,"0810201","02","式の加減",,,
88,"0810201","03","式の利用",,,
89,"0810201","04","式の計算まとめ",,,
90,"0810202","01","連立方程式の解法",,,
91,"0810202","02","連立方程式の利用",,,
92,"0810202","03","連立方程式まとめ",,,
93,"0810203","01","一次関数とグラフ",,,
94,"0810203","02","直線の式",,,
95,"0810203","03","二元一次方程式とそのグラフ",,,
96,"0810203","04","一次関数のグラフと図形",,,
97,"0810203","05","一次関数の利用",,,
98,"0810203","06","一次関数のまとめ",,,
99,"0810204","01","平行線・多角形と角",,,
100,"0810204","02","合同と証明",,,
101,"0810204","03","平行と合同のまとめ",,,
102,"0810205","01","二等辺三角形の性質",,,
103,"0810205","02","直角三角形",,,
104,"0810205","03","平行四辺形",,,
105,"0810205","04","特別な平行四辺形",,,
106,"0810205","05","面積に関する問題",,,
107,"0810205","06","図形の性質の一次関数への応用",,,
108,"0810205","07","三角形と四角形のまとめ",,,
109,"0810206","01","データの分析",,,
110,"0810206","02","確率",,,
111,"0810206","03","確率の利用",,,
112,"0810206","04","データの分析・確率のまとめ",,,
113,"0810299","99","その他",,,
114,"0910201","01","式の展開",,,
115,"0910201","02","式の展開の利用",,,
116,"0910201","03","因数分解",,,
117,"0910201","04","因数分解の利用",,,
118,"0910201","05","式の計算のまとめ",,,
119,"0910202","01","平方根",,,
120,"0910202","02","平方根の計算",,,
121,"0910202","03","平方根の計算の利用",,,
122,"0910202","04","平方根のまとめ",,,
123,"0910203","01","二次方程式とその解",,,
124,"0910203","02","二次方程式の利用",,,
125,"0910203","03","二次方程式のまとめ",,,
126,"0910204","01","二乗に比例する関数",,,
127,"0910204","02","二乗に比例する関数と図形",,,
128,"0910204","03","二乗に比例する関数と図形の応用",,,
129,"0910204","04","いろいろな関数",,,
130,"0910204","05","二乗に比例する関数まとめ",,,
131,"0910205","01","相似な図形",,,
132,"0910205","02","平行線の線分の比",,,
133,"0910205","03","中点連結定理",,,
134,"0910205","04","相似と計量",,,
135,"0910205","05","相似な図形と面積",,,
136,"0910205","06","円周角の定理",,,
137,"0910205","07","円周角の定理の利用",,,
138,"0910205","08","円と相似",,,
139,"0910205","09","三角形の重心、外心、内心",,,
140,"0910205","10","相似と円周角のまとめ",,,
141,"0910206","01","三平方の定理",,,
142,"0910206","02","円と三平方の定理",,,
143,"0910206","03","円と三平方の定理の応用",,,
144,"0910206","04","立体図形と三平方の定理",,,
145,"0910206","05","立体図形と三平方の定理",,,
146,"0910206","06","三平方の定理まとめ",,,
147,"0910207","01","標本調査",,,
148,"0910299","99","その他",,,
149,"1010201","01","整式の加法・減法・情報",,,
150,"1010201","02","因数分解",,,
151,"1010201","03","実数",,,
152,"1010201","04","一次不等式",,,
153,"1010201","05","二次方程式",,,
154,"1010202","01","集合",,,
155,"1010202","02","命題と条件",,,
156,"1010202","03","命題と証明",,,
157,"1010203","01","関数とグラフ",,,
158,"1010203","02","二次関数のグラフとその移動",,,
159,"1010203","03","二次関数の最大・最小と決定",,,
160,"1010203","04","二次方程式",,,
161,"1010203","05","グラフと二次方程式",,,
162,"1010203","06","二次不等式",,,
163,"1010203","07","二次関数のまとめ",,,
164,"1010204","01","三角比の基本",,,
165,"1010204","02","三角比の拡張",,,
166,"1010204","03","三角比の関連問題",,,
167,"1010204","04","正弦定理と余弦定理",,,
168,"1010204","05","三角比と図形と計量",,,
169,"1010205","01","データの代表値と散らばり",,,
170,"1010205","02","分散と標準偏差、相関係数",,,
171,"1010206","01","集合の数の個数",,,
172,"1010206","02","場合の数",,,
173,"1010206","03","順列",,,
174,"1010206","04","円順列、重複順列",,,
175,"1010206","05","組み合わせ",,,
176,"1010207","01","事象と確率",,,
177,"1010207","02","確率の基本性質",,,
178,"1010207","03","独立な施行",,,
179,"1010207","04","反復施行の確率",,,
180,"1010207","05","条件付きの確率",,,
181,"1010208","01","平面図形の基本",,,
182,"1010208","02","三角形の辺の比",,,
183,"1010208","03","五心",,,
184,"1010208","04","チェバ・メネラウスの定理",,,
185,"1010208","05","三角形の辺と角",,,
186,"1010208","06","円に内接する四角形",,,
187,"1010208","07","円と直線、二つの円の位置関係",,,
188,"1010208","08","作図",,,
189,"1010208","09","空間図形",,,
190,"1010209","01","約数と倍数",,,
191,"1010209","02","整数の割り算",,,
192,"1010209","03","合同式",,,
193,"1010209","04","ユークリッドの互除法",,,
194,"1010209","05","一次不定方程式",,,
195,"1010209","06","方程式の整数解",,,
196,"1010209","07","分数と小数",,,
197,"1010209","08","ｎ進法",,,
198,"1010299","99","その他",,,
199,"1110201","01","三次式の展開と因数分解",,,
200,"1110201","02","二項定理",,,
201,"1110201","03","分数式とその計算",,,
202,"1110201","04","恒等式",,,
203,"1110201","05","等式の証明",,,
204,"1110201","06","不等式の証明",,,
205,"1110202","01","複素数",,,
206,"1110202","02","二次方程式の解と判別式",,,
207,"1110202","03","解と係数の関係、解の存在範囲",,,
208,"1110202","04","剰余の定理と因数定理",,,
209,"1110202","05","高次方程式",,,
210,"1110203","01","直線上の点、平面上の点",,,
211,"1110203","02","直線の方程式、二直線の関係",,,
212,"1110203","03","線対称、点と直線の距離",,,
213,"1110203","04","円の方程式",,,
214,"1110203","05","円と直線",,,
215,"1110203","06","２つの円",,,
216,"1110203","07","軌跡と方程式",,,
217,"1110203","08","不等式の表す領域",,,
218,"1110204","01","一般角と弧度法",,,
219,"1110204","02","三角関数",,,
220,"1110204","03","三角関数の性質・グラフ",,,
221,"1110204","04","三角関数の応用",,,
222,"1110204","05","加法定理",,,
223,"1110204","06","加法定理の応用",,,
224,"1110204","07","積和の公式",,,
225,"1110204","08","三角関数の合成",,,
226,"1110205","01","指数の拡張",,,
227,"1110205","02","指数関数",,,
228,"1110205","03","対数とその性質",,,
229,"1110205","04","対数関数",,,
230,"1110205","05","常用対数",,,
231,"1110206","01","微分係数と導関数",,,
232,"1110206","02","接線",,,
233,"1110206","03","関数の増減と極大・極小",,,
234,"1110206","04","最大値、最小値、方程式、不等式",,,
235,"1110207","01","不定積分",,,
236,"1110207","02","定積分",,,
237,"1110207","03","面積",,,
238,"1110207","04","体積",,,
239,"1110208","01","ベクトルの演算",,,
240,"1110208","02","ベクトルの成分",,,
241,"1110208","03","ベクトルの内積",,,
242,"1110208","04","位置ベクトル",,,
243,"1110208","05","ベクトルと図形",,,
244,"1110208","06","ベクトル方程式",,,
245,"1110209","01","空間の座標",,,
246,"1110209","02","空間ベクトル、成分",,,
247,"1110209","03","空間ベクトルの内積",,,
248,"1110209","04","空間の位置ベクトル",,,
249,"1110209","05","空間ベクトルと空間図形",,,
250,"1110209","06","座標空間の図形",,,
251,"1110210","01","等差数列",,,
252,"1110210","02","等比数列",,,
253,"1110210","03","種々の数列",,,
254,"1110210","04","漸化式と数列",,,
255,"1110210","05","種々の漸化式",,,
256,"1110210","06","数学的帰納法",,,
257,"1110211","01","確率変数と確率分布、期待値、分散",,,
258,"1110211","02","確率変数の変換、和と積",,,
259,"1110211","03","正規分布",,,
260,"1110211","04","統計的な推測",,,
261,"1110299","99","その他",,,
262,"1210201","01","複素数平面",,,
263,"1210201","02","複素数の極形式と乗法、除法",,,
264,"1210201","03","ド・モアブルの定理",,,
265,"1210201","04","複素数と図形",,,
266,"1210202","01","放物線",,,
267,"1210202","02","楕円",,,
268,"1210202","03","双曲線",,,
269,"1210202","04","二次曲線と直線",,,
270,"1210202","05","二次曲線の接線",,,
271,"1210202","06","二次曲線の性質、二次曲線と領域",,,
272,"1210202","07","媒介変数表示",,,
273,"1210202","08","極座標、極方程式",,,
274,"1210203","01","分数関数、無理関数",,,
275,"1210203","02","逆関数と合成関数",,,
276,"1210204","01","数列の極限",,,
277,"1210204","02","無限級数",,,
