"unit_category_cd","unit_cd","name","created_at","updated_at","deleted_at"
"0710101","01","be動詞",,,
"0710101","02","be動詞の疑問文",,,
"0710101","03","be動詞の否定文",,,
"0710101","99","その他",,,
"0710102","01","一般動詞",,,
"0710102","02","一般動詞の疑問文",,,
"0710102","03","一般動詞の否定文",,,
"0710102","99","その他",,,
"0710199","99","その他",,,
"0810101","01","一般動詞の過去形",,,
"0810101","02","不規則変化の動詞",,,
"0810101","03","一般動詞の過去形疑問文",,,
"0810101","04","一般動詞の過去形否定文",,,
"0810101","99","その他",,,
"0810102","01","接続詞:and,or",,,
"0810102","02","接続詞:but,so",,,
"0810102","03","接続詞:that",,,
"0810102","99","その他",,,
"0810199","99","その他",,,
"0910101","01","受動態の文",,,
"0910101","02","受動態の疑問文と否定文",,,
"0910101","03","過去分詞",,,
"0910101","99","その他",,,
"0910101","99","その他",,,
"0910102","01","現在完了形",,,
"0910102","02","現在完了形の疑問文と否定文",,,
"0910102","03","現在完了進行形",,,
"0910102","99","その他",,,
"0910199","99","その他",,,
"0710201","01","加法と減法",,,
"0710201","02","乗法と除法",,,
"0710201","03","正負の数の利用",,,
"0710201","99","その他",,,
"0710202","01","方程式とその解き方",,,
"0710202","02","1次方程式の利用",,,
"0710202","99","その他",,,
"0710203","01","1次関数と方程式",,,
"0710203","02","1次関数の利用",,,
"0710203","99","その他",,,
"0710299","99","その他",,,
"0810201","01","連立方程式とその解き方",,,
"0810201","02","連立方程式の利用",,,
"0810201","99","その他",,,
"0810202","01","平行線と角",,,
"0810202","02","合同な図形",,,
"0810202","99","その他",,,
"0810203","01","確率",,,
"0810203","99","その他",,,
"0810299","99","その他",,,
"0910201","01","多項式の計算",,,
"0910201","02","因数分解",,,
"0910201","99","その他",,,
"0910202","01","平方根",,,
"0910202","02","根号を含む式の計算",,,
"0910202","99","その他",,,
"0910203","01","方程式とその解き方",,,
"0910203","02","1次方程式の利用",,,
"0910203","99","その他",,,
"0910299","99","その他",,,
