"regular_class_id","campus_cd","day_cd","period_no","start_time","end_time","minutes","booth_cd","course_cd","student_id","tutor_id","subject_cd","how_to_kind","created_at","updated_at","deleted_at"
1,"01",1,5,"16:45","18:15",90,"101","10300",,101,"501",0,,,
2,"01",1,6,"18:30","20:00",90,"101","10100",7,103,"101",0,,,
3,"01",1,7,"20:15","21:45",90,"101","90100",7,,,0,,,
4,"01",1,7,"20:15","21:45",90,"102","10100",10,102,"105",0,,,
5,"01",2,5,"16:45","18:15",90,"101","10100",6,101,"103",0,,,
6,"01",2,5,"16:45","18:15",90,"102","10100",13,104,"102",0,,,
7,"02",2,6,"18:30","20:00",90,"101","10100",8,105,"101",0,,,
8,"02",2,7,"20:15","21:45",90,"101","10100",11,105,"108",0,,,
9,"01",2,7,"20:15","21:45",90,"101","10100",10,103,"114",0,,,
10,"01",3,5,"16:45","18:15",90,"101","10100",9,101,"503",0,,,
11,"01",3,6,"18:30","20:00",90,"101","10500",9,101,"503",0,,,
12,"02",3,7,"20:15","21:45",90,"101","10100",14,105,"107",0,,,
13,"05",3,6,"19:45","21:45",120,"101","10600",18,106,"101",0,,,
14,"99",4,5,"16:45","18:15",90,"501","10100",4,104,"103",4,,,
15,"02",4,6,"18:30","20:00",90,"101","10100",11,105,"101",0,,,
16,"12",4,7,"20:15","21:45",90,"401","10100",15,103,"107",1,,,
17,"01",5,5,"16:45","18:15",90,"101","10200",,101,"101",0,,,
18,"01",5,6,"18:30","20:00",90,"101","10100",7,103,"102",0,,,
19,"12",5,7,"20:15","21:45",90,"401","20100",,103,"101",1,,,
20,"02",6,1,"09:00","10:30",90,"101","10100",7,105,"106",0,,,
21,"05",6,2,"10:45","12:15",90,"101","10100",8,106,"102",0,,,
22,"99",6,3,"13:15","14:45",90,"501","10100",10,104,"101",4,,,
23,"12",6,4,"15:00","16:30",90,"401","10100",9,103,"106",1,,,
24,"01",6,5,"16:45","18:15",90,"105","20100",,103,"102",0,,,
25,"01",6,6,"18:30","20:00",90,"101","10100",12,102,"105",0,,,
26,"05",6,6,"19:45","21:45",120,"101","10600",18,106,"102",0,,,
