season_cd,campus_cd,t_start_date,t_end_date,s_start_date,s_end_date,confirm_date,status,created_at,updated_at,deleted_at
202301,01,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202301,02,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202301,04,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202301,05,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202301,06,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202301,07,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202301,12,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202301,13,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202301,99,2023/02/01,2023/02/28,2023/02/01,2023/04/08,2023/03/01,1,,,
202302,01,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202302,02,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202302,04,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202302,05,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202302,06,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202302,07,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202302,12,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202302,13,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202302,99,2023/06/01,2023/06/30,2023/06/01,2023/08/27,2023/07/01,1,,,
202303,01,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202303,02,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202303,04,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202303,05,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202303,06,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202303,07,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202303,12,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202303,13,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202303,99,2023/11/01,2023/12/20,2023/11/01,2024/01/07,,0,,,
202401,01,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
202401,02,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
202401,04,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
202401,05,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
202401,06,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
202401,07,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
202401,12,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
202401,13,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
202401,99,2024/02/01,2024/02/28,2024/02/01,2024/04/08,,0,,,
