"id","roomcd","sid","lesson_type","symbol","curriculumcd","rglr_minutes","gmid","period_no","tmid","tid","lesson_date","start_time","r_minutes","end_time","pre_tid","pre_lesson_date","pre_start_time","pre_r_minutes","pre_end_time","chg_status_cd","diff_time","substitute_flg","atd_status_cd","status_info","create_kind_cd","transefer_kind_cd","trn_lesson_date","trn_start_time","trn_r_minutes","trn_end_time","updtime","created_at","updated_at","deleted_at"
"101","110","1","0","レ","102","60",,,,"101","2022-10-03","16:00:00","60","17:00:00","101","2022-10-03","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"102","110","1","0","レ","102","60",,,,"101","2022-10-10","16:00:00","60","17:00:00","101","2022-10-10","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"103","110","1","0","レ","102","60",,,,"101","2022-10-17","16:00:00","60","17:00:00","101","2022-10-17","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"104","110","1","0","レ","102","60",,,,"101","2022-10-24","16:00:00","60","17:00:00","101","2022-10-24","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"105","110","1","0","レ","102","60",,,,"101","2022-10-31","16:00:00","60","17:00:00","101","2022-10-31","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"106","110","1","0","レ","102","60",,,,"101","2022-11-07","16:00:00","60","17:00:00","101","2022-11-07","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"107","110","1","0","レ","102","60",,,,"101","2022-11-14","16:00:00","60","17:00:00","101","2022-11-14","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"108","110","1","0","レ","102","60",,,,"101","2022-11-21","16:00:00","60","17:00:00","101","2022-11-21","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"109","110","1","0","レ","102","60",,,,"101","2022-11-28","16:00:00","60","17:00:00","101","2022-11-28","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"110","110","1","0","レ","102","60",,,,"101","2022-12-05","16:00:00","60","17:00:00","101","2022-12-05","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"111","110","1","0","レ","102","60",,,,"101","2022-12-12","16:00:00","60","17:00:00","101","2022-12-12","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"112","110","1","0","レ","102","60",,,,"101","2022-12-19","16:00:00","60","17:00:00","101","2022-12-19","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"113","110","1","0","レ","102","60",,,,"101","2022-12-26","16:00:00","60","17:00:00","101","2022-12-26","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"114","110","1","0","レ","102","60",,,,"101","2023-01-02","16:00:00","60","17:00:00","101","2023-01-02","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"115","110","1","0","レ","102","60",,,,"101","2023-01-09","16:00:00","60","17:00:00","101","2023-01-09","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"116","110","1","0","レ","102","60",,,,"101","2023-01-16","16:00:00","60","17:00:00","101","2023-01-16","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"117","110","1","0","レ","102","60",,,,"101","2023-01-23","16:00:00","60","17:00:00","101","2023-01-23","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"118","110","1","0","レ","102","60",,,,"101","2023-01-30","16:00:00","60","17:00:00","101","2023-01-30","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"119","110","1","0","レ","102","60",,,,"101","2023-02-06","16:00:00","60","17:00:00","101","2023-02-06","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"120","110","1","0","レ","102","60",,,,"101","2023-02-13","16:00:00","60","17:00:00","101","2023-02-13","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"121","110","1","0","レ","102","60",,,,"101","2023-02-20","16:00:00","60","17:00:00","101","2023-02-20","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:09","2023-01-15 17:07:09",
"122","110","1","0","レ","102","60",,,,"101","2023-02-27","16:00:00","60","17:00:00","101","2023-02-27","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:10","2023-01-15 17:07:10",
"123","110","1","0","レ","102","60",,,,"101","2023-03-06","16:00:00","60","17:00:00","101","2023-03-06","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:10","2023-01-15 17:07:10",
"124","110","1","0","レ","102","60",,,,"101","2023-03-13","16:00:00","60","17:00:00","101","2023-03-13","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:10","2023-01-15 17:07:10",
"125","110","1","0","レ","102","60",,,,"101","2023-03-20","16:00:00","60","17:00:00","101","2023-03-20","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:10","2023-01-15 17:07:10",
"126","110","1","0","レ","102","60",,,,"101","2023-03-27","16:00:00","60","17:00:00","101","2023-03-27","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:10","2023-01-15 17:07:10",
"127","110","1","0","レ","102","60",,,,"101","2023-04-03","16:00:00","60","17:00:00","101","2023-04-03","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:10","2023-01-15 17:07:10",
"128","110","1","0","レ","102","60",,,,"101","2023-04-10","16:00:00","60","17:00:00","101","2023-04-10","16:00:00","60","17:00:00",,"0","0",,,"1","0",,,,,"2022-12-01 11:02:38","2023-01-15 17:07:10","2023-01-15 17:07:10",
