"sid","invoice_date","lesson_type","invoice_seq","order_code","cost_name","cost","created_at","updated_at","deleted_at"
"1","2022-12-01","1","1","6","個別教室 規定料金","69522","2023-01-18 13:43:42","2023-01-18 13:43:42",
"1","2022-12-01","1","2","7","前月締切分 追加料金","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"1","2022-12-01","1","3","8","前月締切分 個別講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"1","2022-12-01","1","4","9","前月締切分 集団講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"1","2022-12-01","1","5","10","前月締切分 模擬試験","3400","2023-01-18 13:43:42","2023-01-18 13:43:42",
"1","2022-12-01","1","6","11","前月締切分 教材費","1500","2023-01-18 13:43:42","2023-01-18 13:43:42",
"1","2022-12-01","1","7","12","前月締切分 調整額","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"2","2022-12-01","1","1","6","個別教室 規定料金","14630","2023-01-18 13:43:42","2023-01-18 13:43:42",
"2","2022-12-01","1","2","7","前月締切分 追加料金","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"2","2022-12-01","1","3","8","前月締切分 個別講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"2","2022-12-01","1","4","9","前月締切分 集団講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"2","2022-12-01","1","5","10","前月締切分 模擬試験","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"2","2022-12-01","1","6","11","前月締切分 教材費","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"2","2022-12-01","1","7","12","前月締切分 調整額","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"3","2022-12-01","1","1","6","個別教室 規定料金","69522","2023-01-18 13:43:42","2023-01-18 13:43:42",
"3","2022-12-01","1","2","7","前月締切分 追加料金","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"3","2022-12-01","1","3","8","前月締切分 個別講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"3","2022-12-01","1","4","9","前月締切分 集団講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"3","2022-12-01","1","5","10","前月締切分 模擬試験","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"3","2022-12-01","1","6","11","前月締切分 教材費","3400","2023-01-18 13:43:42","2023-01-18 13:43:42",
"3","2022-12-01","1","7","12","前月締切分 調整額","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"4","2022-12-01","1","1","6","個別教室 規定料金","69522","2023-01-18 13:43:42","2023-01-18 13:43:42",
"4","2022-12-01","1","2","7","前月締切分 追加料金","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"4","2022-12-01","1","3","8","前月締切分 個別講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"4","2022-12-01","1","4","9","前月締切分 集団講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"4","2022-12-01","1","5","10","前月締切分 模擬試験","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"4","2022-12-01","1","6","11","前月締切分 教材費","3400","2023-01-18 13:43:42","2023-01-18 13:43:42",
"4","2022-12-01","1","7","12","前月締切分 調整額","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"5","2022-12-01","1","1","6","個別教室 規定料金","69522","2023-01-18 13:43:42","2023-01-18 13:43:42",
"5","2022-12-01","1","2","7","前月締切分 追加料金","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"5","2022-12-01","1","3","8","前月締切分 個別講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"5","2022-12-01","1","4","9","前月締切分 集団講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"5","2022-12-01","1","5","10","前月締切分 模擬試験","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"5","2022-12-01","1","6","11","前月締切分 教材費","3400","2023-01-18 13:43:42","2023-01-18 13:43:42",
"5","2022-12-01","1","7","12","前月締切分 調整額","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"6","2022-12-01","1","1","6","個別教室 規定料金","69522","2023-01-18 13:43:42","2023-01-18 13:43:42",
"6","2022-12-01","1","2","7","前月締切分 追加料金","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"6","2022-12-01","1","3","8","前月締切分 個別講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"6","2022-12-01","1","4","9","前月締切分 集団講習","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"6","2022-12-01","1","5","10","前月締切分 模擬試験","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
"6","2022-12-01","1","6","11","前月締切分 教材費","3400","2023-01-18 13:43:42","2023-01-18 13:43:42",
"6","2022-12-01","1","7","12","前月締切分 調整額","0","2023-01-18 13:43:42","2023-01-18 13:43:42",
