text_cd,l_subject_cd,grade_cd,t_subject_cd,name,created_at,updated_at,deleted_at
01103001,103,1,103,小1さんすう,,,
01104001,104,1,104,小1こくご,,,
02103001,103,2,103,小2さんすう,,,
02104001,104,2,104,小2こくご,,,
03101001,101,3,101,小3英語テキスト,,,
03103001,103,3,103,小3算数テキスト,,,
03104001,104,3,104,小3国語テキスト,,,
04101001,101,4,101,小4英語テキスト,,,
04103001,103,4,103,小4算数テキスト,,,
04104001,104,4,104,小4国語テキスト,,,
05101001,101,5,101,小5英語テキスト,,,
05103001,103,5,103,小5算数テキスト,,,
05104001,104,5,104,小5国語テキスト,,,
05106001,106,5,106,小5理科テキスト,,,
05111001,111,5,111,小5社会テキスト,,,
06101001,101,6,101,小6英語テキスト,,,
06103001,103,6,103,小6算数テキスト,,,
06104001,104,6,104,小6国語テキスト,,,
06106001,106,6,106,小6理科テキスト,,,
06111001,111,6,111,小6社会テキスト,,,
07101001,101,7,101,中1英語基礎テキスト,,,
07102001,102,7,102,中1数学ドリル,,,
07102099,102,7,102,中1その他,,,
07104001,104,7,104,中1国語ドリル,,,
07105001,105,7,105,中1古文・漢文テキスト,,,
07106001,106,7,106,中1理科テキスト,,,
07111001,111,7,111,中1社会テキスト,,,
07503101,503,7,101,中1英語基礎テキスト,,,
07503201,503,7,102,中1数学ドリル,,,
08101001,101,8,101,中2英語テキスト,,,
08102001,102,8,102,中2数学テキスト,,,
08104001,104,8,104,中2国語テキスト,,,
08106001,106,8,106,中2理科テキスト,,,
08111001,111,8,111,中2社会テキスト,,,
09101001,101,9,101,中3英語まとめ,,,
09102001,102,9,102,中3数学まとめ,,,
09104001,104,9,104,中3国語まとめ,,,
09106001,106,9,106,中3理科まとめ,,,
09111001,111,9,111,中3社会まとめ,,,
09501101,501,9,102,中3数学まとめ,,,
09501201,501,9,104,中3国語まとめ,,,
09503101,503,9,101,中3英語まとめ,,,
09503201,503,9,102,中3数学まとめ,,,
10101001,101,10,101,高1コミュニケーション英語テキスト,,,
10102001,102,10,102,高1数1テキスト,,,
10105001,105,10,105,高1古文テキスト,,,
10107001,107,10,107,高1化学テキスト,,,
10113001,113,10,113,高1日本史テキスト,,,
11101001,101,11,101,高2英語表現テキスト,,,
11102001,102,11,102,高2数Bテキスト,,,
11105001,105,11,105,高2漢文テキスト,,,
11108001,108,11,108,高2物理テキスト,,,
11112001,112,11,112,高2世界史テキスト,,,
12101001,101,12,101,高3コミュニケーション英語テキスト,,,
12102001,102,12,102,高3数3テキスト,,,
12104001,104,12,104,高3現代文テキスト,,,
12109001,109,12,109,高3生物テキスト,,,
12114001,114,12,114,高3地理テキスト,,,
