"notice_group_id","group_type","cls_cd","cls_cd_next","group_name","created_at","updated_at","deleted_at"
"1","1","01","02","小１","2020-12-24 10:00:27","2020-12-24 10:00:27",
"2","1","02","03","小２","2020-12-24 10:00:27","2020-12-24 10:00:27",
"3","1","03","04","小３","2020-12-24 10:00:27","2020-12-24 10:00:27",
"4","1","04","05","小４","2020-12-24 10:00:27","2020-12-24 10:00:27",
"5","1","05","06","小５","2020-12-24 10:00:27","2020-12-24 10:00:27",
"6","1","06","11","小６","2020-12-24 10:00:27","2020-12-24 10:00:27",
"7","1","11","12","中１","2020-12-24 10:00:27","2020-12-24 10:00:27",
"8","1","12","13","中２","2020-12-24 10:00:27","2020-12-24 10:00:27",
"9","1","13","21","中３","2020-12-24 10:00:27","2020-12-24 10:00:27",
"10","1","21","22","高１","2020-12-24 10:00:27","2020-12-24 10:00:27",
"11","1","22","23","高２","2020-12-24 10:00:27","2020-12-24 10:00:27",
"12","1","23","99","高３","2020-12-24 10:00:27","2020-12-24 10:00:27",
"13","1","30","01","幼児","2020-12-24 10:00:27","2020-12-24 10:00:27",
"14","1","99",,"一般","2020-12-24 10:00:27","2020-12-24 10:00:27",
"15","2",,,"教師","2020-12-24 10:00:27","2020-12-24 10:00:27",
