"school_year","campus_cd","lesson_date","day_cd","date_kind","school_month","week_count","created_at","updated_at","deleted_at"
"2023","01",2023/03/01,3,0,"03",1,,,
"2023","01",2023/03/02,4,0,"03",1,,,
"2023","01",2023/03/03,5,0,"03",1,,,
"2023","01",2023/03/04,6,0,"03",1,,,
"2023","01",2023/03/05,7,0,"03",0,,,
"2023","01",2023/03/06,1,0,"03",1,,,
"2023","01",2023/03/07,2,0,"03",1,,,
"2023","01",2023/03/08,3,0,"03",2,,,
"2023","01",2023/03/09,4,0,"03",2,,,
"2023","01",2023/03/10,5,0,"03",2,,,
"2023","01",2023/03/11,6,0,"03",2,,,
"2023","01",2023/03/12,7,0,"03",0,,,
"2023","01",2023/03/13,1,0,"03",2,,,
"2023","01",2023/03/14,2,0,"03",2,,,
"2023","01",2023/03/15,3,0,"03",3,,,
"2023","01",2023/03/16,4,0,"03",3,,,
"2023","01",2023/03/17,5,0,"03",3,,,
"2023","01",2023/03/18,6,0,"03",3,,,
"2023","01",2023/03/19,7,0,"03",0,,,
"2023","01",2023/03/20,1,0,"03",3,,,
"2023","01",2023/03/21,2,0,"03",3,,,
"2023","01",2023/03/22,3,0,"03",4,,,
"2023","01",2023/03/23,4,0,"03",4,,,
"2023","01",2023/03/24,5,0,"03",4,,,
"2023","01",2023/03/25,6,0,"03",4,,,
"2023","01",2023/03/26,7,0,"0",0,,,
"2023","01",2023/03/27,1,1,"0",0,,,
"2023","01",2023/03/28,2,1,"0",0,,,
"2023","01",2023/03/29,3,1,"0",0,,,
"2023","01",2023/03/30,4,1,"0",0,,,
"2023","01",2023/03/31,5,1,"0",0,,,
"2023","01",2023/04/01,6,1,"0",0,,,
"2023","01",2023/04/02,7,0,"0",0,,,
"2023","01",2023/04/03,1,1,"0",0,,,
"2023","01",2023/04/04,2,1,"0",0,,,
"2023","01",2023/04/05,3,1,"0",0,,,
"2023","01",2023/04/06,4,1,"0",0,,,
"2023","01",2023/04/07,5,1,"0",0,,,
"2023","01",2023/04/08,6,1,"0",0,,,
"2023","01",2023/04/09,7,0,"0",0,,,
"2023","01",2023/04/10,1,0,"03",4,,,
"2023","01",2023/04/11,2,0,"03",4,,,
"2023","01",2023/04/12,3,0,"04",1,,,
"2023","01",2023/04/13,4,0,"04",1,,,
"2023","01",2023/04/14,5,0,"04",1,,,
"2023","01",2023/04/15,6,0,"04",1,,,
"2023","01",2023/04/16,7,0,"04",0,,,
"2023","01",2023/04/17,1,0,"04",1,,,
"2023","01",2023/04/18,2,0,"04",1,,,
"2023","01",2023/04/19,3,0,"04",2,,,
"2023","01",2023/04/20,4,0,"04",2,,,
"2023","01",2023/04/21,5,0,"04",2,,,
"2023","01",2023/04/22,6,0,"04",2,,,
"2023","01",2023/04/23,7,0,"04",0,,,
"2023","01",2023/04/24,1,0,"04",2,,,
"2023","01",2023/04/25,2,0,"04",2,,,
"2023","01",2023/04/26,3,0,"04",3,,,
"2023","01",2023/04/27,4,0,"04",3,,,
"2023","01",2023/04/28,5,0,"04",3,,,
"2023","01",2023/04/29,6,0,"04",3,,,
"2023","01",2023/04/30,7,0,"04",0,,,
"2023","01",2023/05/01,1,0,"04",3,,,
"2023","01",2023/05/02,2,0,"04",3,,,
"2023","01",2023/05/03,3,9,"04",0,,,
"2023","01",2023/05/04,4,9,"04",0,,,
"2023","01",2023/05/05,5,9,"04",0,,,
"2023","01",2023/05/06,6,9,"04",0,,,
"2023","01",2023/05/07,7,0,"04",0,,,
"2023","01",2023/05/08,1,0,"04",4,,,
"2023","01",2023/05/09,2,0,"04",4,,,
"2023","01",2023/05/10,3,0,"04",4,,,
"2023","01",2023/05/11,4,0,"04",4,,,
"2023","01",2023/05/12,5,0,"04",4,,,
"2023","01",2023/05/13,6,0,"04",4,,,
"2023","01",2023/05/14,7,0,"04",0,,,
"2023","01",2023/05/15,1,0,"05",1,,,
"2023","01",2023/05/16,2,0,"05",1,,,
"2023","01",2023/05/17,3,0,"05",1,,,
"2023","01",2023/05/18,4,0,"05",1,,,
"2023","01",2023/05/19,5,0,"05",1,,,
"2023","01",2023/05/20,6,0,"05",1,,,
"2023","01",2023/05/21,7,0,"05",0,,,
"2023","01",2023/05/22,1,0,"05",2,,,
"2023","01",2023/05/23,2,0,"05",2,,,
"2023","01",2023/05/24,3,0,"05",2,,,
"2023","01",2023/05/25,4,0,"05",2,,,
"2023","01",2023/05/26,5,0,"05",2,,,
"2023","01",2023/05/27,6,0,"05",2,,,
"2023","01",2023/05/28,7,0,"05",0,,,
"2023","01",2023/05/29,1,0,"05",3,,,
"2023","01",2023/05/30,2,0,"05",3,,,
"2023","01",2023/05/31,3,0,"05",3,,,
"2023","01",2023/06/01,4,0,"05",3,,,
"2023","01",2023/06/02,5,0,"05",3,,,
"2023","01",2023/06/03,6,0,"05",3,,,
"2023","01",2023/06/04,7,0,"05",0,,,
"2023","01",2023/06/05,1,0,"05",4,,,
"2023","01",2023/06/06,2,0,"05",4,,,
"2023","01",2023/06/07,3,0,"05",4,,,
"2023","01",2023/06/08,4,0,"05",4,,,
"2023","01",2023/06/09,5,0,"05",4,,,
"2023","01",2023/06/10,6,0,"05",4,,,
"2023","01",2023/06/11,7,0,"05",0,,,
"2023","01",2023/06/12,1,0,"06",1,,,
"2023","01",2023/06/13,2,0,"06",1,,,
"2023","01",2023/06/14,3,0,"06",1,,,
"2023","01",2023/06/15,4,0,"06",1,,,
"2023","01",2023/06/16,5,0,"06",1,,,
"2023","01",2023/06/17,6,0,"06",1,,,
"2023","01",2023/06/18,7,0,"06",0,,,
"2023","01",2023/06/19,1,0,"06",2,,,
"2023","01",2023/06/20,2,0,"06",2,,,
"2023","01",2023/06/21,3,0,"06",2,,,
"2023","01",2023/06/22,4,0,"06",2,,,
"2023","01",2023/06/23,5,0,"06",2,,,
"2023","01",2023/06/24,6,0,"06",2,,,
"2023","01",2023/06/25,7,0,"06",0,,,
"2023","01",2023/06/26,1,0,"06",3,,,
"2023","01",2023/06/27,2,0,"06",3,,,
"2023","01",2023/06/28,3,0,"06",3,,,
"2023","01",2023/06/29,4,0,"06",3,,,
"2023","01",2023/06/30,5,0,"06",3,,,
"2023","01",2023/07/01,6,0,"06",3,,,
"2023","01",2023/07/02,7,0,"06",0,,,
"2023","01",2023/07/03,1,0,"06",4,,,
"2023","01",2023/07/04,2,0,"06",4,,,
"2023","01",2023/07/05,3,0,"06",4,,,
"2023","01",2023/07/06,4,0,"06",4,,,
"2023","01",2023/07/07,5,0,"06",4,,,
"2023","01",2023/07/08,6,0,"06",4,,,
"2023","01",2023/07/09,7,0,"06",0,,,
"2023","01",2023/07/10,1,0,"07",1,,,
"2023","01",2023/07/11,2,0,"07",1,,,
"2023","01",2023/07/12,3,0,"07",1,,,
"2023","01",2023/07/13,4,0,"07",1,,,
"2023","01",2023/07/14,5,0,"07",1,,,
"2023","01",2023/07/15,6,0,"07",1,,,
"2023","01",2023/07/16,7,0,"07",0,,,
"2023","01",2023/07/17,1,0,"07",2,,,
"2023","01",2023/07/18,2,0,"07",2,,,
"2023","01",2023/07/19,3,0,"07",2,,,
"2023","01",2023/07/20,4,0,"07",2,,,
"2023","01",2023/07/21,5,0,"07",2,,,
"2023","01",2023/07/22,6,0,"07",2,,,
"2023","01",2023/07/23,7,0,"0",0,,,
